Fund Name,Category,Subcategory,Plan,isin,scheme_code,1Y Return (%),3Y Return (%),5Y Return (%),Benchmark Name,Benchmark 1Y (%),Benchmark 3Y (%),Benchmark 5Y (%),YTM (%),Macaulay Duration (yrs),Avg Credit Rating,Avg Maturity (yrs),ytm_score,duration_score,maturity_score,credit_score,total_score,fund_rating,Top Holdings Count,Fund URL
Mahindra Manulife Ultra Short Duration Dir,debt,Ultra Short Duration,Direct,INF174V01887,147731,6.44,7.3,6.44,Debt: Ultra Short Duration,6.44,7.21,6.43,7.7,0.48,AAA,0.49,8,10,10,9,37,Good,25,https://www.valueresearchonline.com/funds/40343/
Mirae Asset Ultra Short Duration Dir,debt,Ultra Short Duration,Direct,INF769K01GK6,148529,6.55,7.42,6.52,Debt: Ultra Short Duration,6.44,7.21,6.43,7.64,0.48,AAA,0.6,8,10,9,9,36,Good,25,https://www.valueresearchonline.com/funds/41139/
Motilal Oswal Ultra Short Term Dir,debt,Ultra Short Duration,Direct,INF247L01247,124234,6.05,6.46,5.62,Debt: Ultra Short Duration,6.44,7.21,6.43,6.15,0.31,AAA,0.31,2,10,10,9,31,Good,14,https://www.valueresearchonline.com/funds/21385/
Nippon India CRISIL-IBX Financial Services 3-6 Months Debt Index Dir,debt,Ultra Short Duration,Direct,INF204KC1GX3,154271,,,,Debt: Ultra Short Duration,,,,7.28,0.2,AAA,0.2,7,10,10,9,36,Good,23,https://www.valueresearchonline.com/funds/45885/
Nippon India Ultra Short Duration Dir,debt,Ultra Short Duration,Direct,INF204K01YH3,143494,6.78,7.57,7.37,Debt: Ultra Short Duration,6.44,7.21,6.43,7.83,0.45,AAA,0.59,8,10,9,9,36,Good,25,https://www.valueresearchonline.com/funds/16091/
Nippon India Ultra Short Duration Seg Port 1 Direct,debt,Ultra Short Duration,Direct,INF204K01YH3,147675,,,,,,,,10.75,,BBB,0.07,,,,,,N/A,1,https://www.valueresearchonline.com/funds/40332/
PGIM India Ultra Short Duration Dir,debt,Ultra Short Duration,Direct,INF223J01QO7,138358,6.11,7.06,6.3,Debt: Ultra Short Duration,6.44,7.21,6.43,7.13,0.32,AAA,0.33,3,10,10,9,32,Good,19,https://www.valueresearchonline.com/funds/16397/
SBI Ultra Short Duration Dir,debt,Ultra Short Duration,Direct,INF200K01TF5,119828,6.25,7.16,6.3,Debt: Ultra Short Duration,6.44,7.21,6.43,7.77,0.46,AAA,0.71,6,10,9,9,34,Good,25,https://www.valueresearchonline.com/funds/16890/
Sundaram Ultra Short Duration Dir,debt,Ultra Short Duration,Direct,INF173K01HI3,149539,6.31,7.25,6.44,Debt: Ultra Short Duration,6.44,7.21,6.43,7.45,0.38,AAA,0.44,6,9,9,9,33,Good,25,https://www.valueresearchonline.com/funds/16635/
Tata Ultra Short Term Dir,debt,Ultra Short Duration,Direct,INF277K011T0,146075,6.74,7.47,6.59,Debt: Ultra Short Duration,6.44,7.21,6.43,7.91,0.48,AAA,0.57,8,10,9,9,36,Good,25,https://www.valueresearchonline.com/funds/38830/
UTI Ultra Short Duration Dir,debt,Ultra Short Duration,Direct,INF789F01TI1,120746,6.42,7.3,7.01,Debt: Ultra Short Duration,6.44,7.21,6.43,7.61,0.42,AAA,0.46,5,10,9,9,33,Good,25,https://www.valueresearchonline.com/funds/15737/
WhiteOak Capital Ultra Short Duration Dir,debt,Ultra Short Duration,Direct,INF03VN01209,147311,6.14,7,6.26,Debt: Ultra Short Duration,6.44,7.21,6.43,6.87,0.43,AAA,0.44,5,10,10,9,34,Good,21,https://www.valueresearchonline.com/funds/39938/
ABSL Banking & PSU Debt Reg,debt,Banking and PSU,Regular,INF209K01LV0,108273,4.4,6.82,5.97,Debt: Banking and PSU,4.62,6.8,5.9,7.73,2.73,AAA,3.8,8,6,6,9,29,Good,25,https://www.valueresearchonline.com/funds/7701/
ABSL Banking & PSU Debt Ret,debt,Banking and PSU,Regular,,120533,4.4,6.82,5.97,Debt: Banking and PSU,4.62,6.8,5.9,7.73,2.73,AAA,3.8,8,6,6,9,29,Good,25,https://www.valueresearchonline.com/funds/1302/
Axis Banking & PSU Debt Reg,debt,Banking and PSU,Regular,INF846K01CB0,117446,4.85,6.82,5.9,Debt: Banking and PSU,4.62,6.8,5.9,7.68,2.19,AAA,2.73,7,6,7,9,29,Good,25,https://www.valueresearchonline.com/funds/14890/
Bajaj Finserv Banking and PSU Reg,debt,Banking and PSU,Regular,INF0QA701557,152165,4.08,,,Debt: Banking and PSU,4.62,,,7.76,2.55,AAA,2.93,7,6,7,9,29,Good,20,https://www.valueresearchonline.com/funds/43848/
Bandhan Banking and PSU Reg,debt,Banking and PSU,Regular,INF194K01SN6,121280,5.2,6.84,5.93,Debt: Banking and PSU,4.62,6.8,5.9,7.57,2.32,AAA,2.53,7,6,6,9,28,Good,25,https://www.valueresearchonline.com/funds/18446/
Canara Robeco Banking and PSU Debt Reg,debt,Banking and PSU,Regular,INF760K01KF7,150503,4.55,6.42,,Debt: Banking and PSU,4.62,6.8,,7.48,2.7,AAA,3.18,7,6,6,9,28,Good,18,https://www.valueresearchonline.com/funds/42430/
DSP Banking & PSU Debt Reg,debt,Banking and PSU,Regular,INF740K01ZP6,124172,4.03,6.75,5.8,Debt: Banking and PSU,4.62,6.8,5.9,7.52,4.28,AAA,7.11,8,4,4,9,25,Average,25,https://www.valueresearchonline.com/funds/21198/
Edelweiss Banking and PSU Debt Reg,debt,Banking and PSU,Regular,INF843K01FK1,140283,3.85,6.57,5.83,Debt: Banking and PSU,4.62,6.8,5.9,7.57,1.38,AAA,1.46,7,6,7,9,29,Good,25,https://www.valueresearchonline.com/funds/21014/
Franklin India Banking & PSU Debt Reg,debt,Banking and PSU,Regular,INF090I01KO5,129006,5.69,7.08,6.01,Debt: Banking and PSU,4.62,6.8,5.9,7.5,1.28,AAA,2.62,7,7,6,9,29,Good,25,https://www.valueresearchonline.com/funds/26027/
HDFC Banking and PSU Debt Reg,debt,Banking and PSU,Regular,INF179KA1JC4,128628,4.64,6.9,5.93,Debt: Banking and PSU,4.62,6.8,5.9,7.78,3.21,AAA,4.09,8,5,6,9,28,Good,25,https://www.valueresearchonline.com/funds/25437/
HSBC Banking & PSU Debt Reg,debt,Banking and PSU,Regular,INF677K01AE7,151104,4.78,6.66,5.34,Debt: Banking and PSU,4.62,6.8,5.9,7.69,2.49,AAA,2.86,7,6,7,9,29,Good,25,https://www.valueresearchonline.com/funds/5860/
ICICI Pru Banking & PSU Debt,debt,Banking and PSU,Regular,INF109K01RT3,112342,5.19,7.14,6.37,Debt: Banking and PSU,4.62,6.8,5.9,7.9,3.38,AAA,5.83,8,5,5,9,27,Average,25,https://www.valueresearchonline.com/funds/10832/
ITI Banking & PSU Debt Reg,debt,Banking and PSU,Regular,INF00XX01838,148535,4.38,6.54,5.81,Debt: Banking and PSU,4.62,6.8,5.9,7.11,0.75,AAA,0.78,5,8,8,9,30,Good,13,https://www.valueresearchonline.com/funds/41133/
Invesco India Banking and PSU Reg,debt,Banking and PSU,Regular,INF205K01JV2,118232,4.35,6.85,5.32,Debt: Banking and PSU,4.62,6.8,5.9,7.46,3.08,AAA,3.98,7,5,6,9,27,Average,16,https://www.valueresearchonline.com/funds/15453/
Kotak Banking & PSU Debt Reg,debt,Banking and PSU,Regular,INF174K01FO3,123690,4.96,7.1,6.16,Debt: Banking and PSU,4.62,6.8,5.9,7.77,3.01,AAA,3.55,8,5,6,9,28,Good,25,https://www.valueresearchonline.com/funds/575/
LIC MF Banking & PSU Reg,debt,Banking and PSU,Regular,INF767K01535,105823,4.47,6.79,5.71,Debt: Banking and PSU,4.62,6.8,5.9,7.58,2.28,AAA,3.26,7,6,6,9,28,Good,25,https://www.valueresearchonline.com/funds/5184/
Mirae Asset Banking and PSU Reg,debt,Banking and PSU,Regular,INF769K01FV5,148416,3.98,6.46,5.5,Debt: Banking and PSU,4.62,6.8,5.9,7.41,2.7,AAA,3.71,7,6,6,9,28,Good,25,https://www.valueresearchonline.com/funds/41028/
Nippon India Banking and PSU Reg,debt,Banking and PSU,Regular,INF204KA1T56,134545,4.43,6.83,5.91,Debt: Banking and PSU,4.62,6.8,5.9,7.76,2.96,AAA,3.47,8,6,6,9,29,Good,25,https://www.valueresearchonline.com/funds/30187/
SBI Banking and PSU Reg,debt,Banking and PSU,Regular,INF200K01U41,125498,4.46,6.72,5.64,Debt: Banking and PSU,4.62,6.8,5.9,7.73,2.17,AAA,3.86,7,6,6,9,28,Good,25,https://www.valueresearchonline.com/funds/10704/
Sundaram Banking & PSU Reg,debt,Banking and PSU,Regular,INF903J016H9,134356,4.74,6.96,5.78,Debt: Banking and PSU,4.62,6.8,5.9,7.47,2.11,AAA,2.46,7,6,7,9,29,Good,25,https://www.valueresearchonline.com/funds/2569/
UTI Banking & PSU Reg,debt,Banking and PSU,Regular,INF789F014Z9,126939,5.3,6.92,7.29,Debt: Banking and PSU,4.62,6.8,5.9,7.69,0.82,AAA,0.84,6,9,9,9,33,Good,25,https://www.valueresearchonline.com/funds/23932/
ABSL Corporate Bond Reg,debt,Corporate Bond,Regular,INF209K01785,103178,4.39,7.14,6.27,Debt: Corporate Bond,4.68,6.96,5.93,7.72,4.16,AAA,6.58,8,4,5,9,26,Average,25,https://www.valueresearchonline.com/funds/420/
Axis Corporate Bond Reg,debt,Corporate Bond,Regular,INF846K01ZU1,141593,4.89,7.17,6.14,Debt: Corporate Bond,4.68,6.96,5.93,7.79,2.65,AAA,3.35,8,6,6,9,29,Good,25,https://www.valueresearchonline.com/funds/34376/
Bandhan Corporate Bond Reg,debt,Corporate Bond,Regular,INF194KA1L81,135914,5.19,7.11,5.86,Debt: Corporate Bond,4.68,6.96,5.93,7.58,2.47,AAA,2.8,7,6,6,9,28,Good,25,https://www.valueresearchonline.com/funds/31519/
Baroda BNP Paribas Corporate Bond,debt,Corporate Bond,Regular,INF251K01GP4,150237,5.29,7.35,5.83,Debt: Corporate Bond,4.68,6.96,5.93,7.73,2.51,AAA,3.21,7,6,7,9,29,Good,25,https://www.valueresearchonline.com/funds/9735/
Baroda BNP Paribas Corporate Bond Reg,debt,Corporate Bond,Regular,INF251K01EP9,150235,5.29,7.35,5.89,Debt: Corporate Bond,4.68,6.96,5.93,7.73,2.51,AAA,3.21,7,6,7,9,29,Good,25,https://www.valueresearchonline.com/funds/9730/
Canara Robeco Corporate Bond Reg,debt,Corporate Bond,Regular,INF760K01GY6,126687,4,6.12,5.22,Debt: Corporate Bond,4.68,6.96,5.93,7.59,1.91,AAA,2.22,8,7,7,9,31,Good,18,https://www.valueresearchonline.com/funds/23478/
DSP Corporate Bond Reg,debt,Corporate Bond,Regular,INF740KA1JX0,144644,5.41,6.91,5.63,Debt: Corporate Bond,4.68,6.96,5.93,7.19,0.84,AAA,0.87,6,9,9,9,33,Good,25,https://www.valueresearchonline.com/funds/37501/
Franklin India Corporate Debt Reg,debt,Corporate Bond,Regular,INF090I01DG6,100528,5.48,7.38,6.13,Debt: Corporate Bond,4.68,6.96,5.93,7.91,1.49,AAA,2.77,8,7,6,9,30,Good,25,https://www.valueresearchonline.com/funds/418/
HDFC Corporate Bond Reg,debt,Corporate Bond,Regular,INF179K01DC2,113070,4.27,7.08,6.12,Debt: Corporate Bond,4.68,6.96,5.93,7.79,4.29,AAA,6.95,8,4,5,9,26,Average,25,https://www.valueresearchonline.com/funds/11341/
HSBC Corporate Bond Reg,debt,Corporate Bond,Regular,INF917K01AH0,150992,5.01,6.96,5.92,Debt: Corporate Bond,4.68,6.96,5.93,7.71,2.17,AAA,2.36,7,6,7,9,29,Good,25,https://www.valueresearchonline.com/funds/408/
ICICI Pru Corporate Bond,debt,Corporate Bond,Regular,INF109K01CQ1,111987,5.6,7.44,6.56,Debt: Corporate Bond,4.68,6.96,5.93,7.91,3.53,AAA,5.73,8,5,5,9,27,Average,25,https://www.valueresearchonline.com/funds/10505/
Invesco India Corporate Bond Reg,debt,Corporate Bond,Regular,INF205K01RM4,106177,4.44,6.96,5.82,Debt: Corporate Bond,4.68,6.96,5.93,7.75,3.49,AAA,4.39,8,5,6,9,28,Good,25,https://www.valueresearchonline.com/funds/5536/
Kotak Corporate Bond Reg,debt,Corporate Bond,Regular,INF178L01BO1,133782,4.75,7.17,6.19,Debt: Corporate Bond,4.68,6.96,5.93,7.99,2.73,AAA,4,8,6,6,9,29,Good,25,https://www.valueresearchonline.com/funds/5896/
Mirae Asset Corporate Bond Reg,debt,Corporate Bond,Regular,INF769K01HA5,148757,4.31,6.63,5.62,Debt: Corporate Bond,4.68,6.96,5.93,7.71,3.03,AAA,4.23,8,5,6,9,28,Good,25,https://www.valueresearchonline.com/funds/41341/
Nippon India Corporate Bond Reg,debt,Corporate Bond,Regular,INF204K01EF9,100856,4.7,7.24,6.49,Debt: Corporate Bond,4.68,6.96,5.93,7.9,2.47,AAA,2.87,8,6,7,9,30,Good,25,https://www.valueresearchonline.com/funds/846/
PGIM India Corporate Bond Reg,debt,Corporate Bond,Regular,INF223J01DB2,138318,4.12,6.52,5.65,Debt: Corporate Bond,4.68,6.96,5.93,7.36,2.38,AAA,2.72,7,5,6,9,27,Average,22,https://www.valueresearchonline.com/funds/1523/
SBI Corporate Bond Reg,debt,Corporate Bond,Regular,INF200KA1YM5,146207,4.42,6.88,5.85,Debt: Corporate Bond,4.68,6.96,5.93,7.98,2.39,AAA,4.09,8,6,6,9,29,Good,25,https://www.valueresearchonline.com/funds/38934/
Sundaram Corporate Bond Reg,debt,Corporate Bond,Regular,INF903J01HW6,100789,4.49,6.87,5.85,Debt: Corporate Bond,4.68,6.96,5.93,7.56,2.21,AAA,2.82,7,6,7,9,29,Good,25,https://www.valueresearchonline.com/funds/2573/
TRUSTMF Corporate Bond Reg,debt,Corporate Bond,Regular,INF0GCD01537,151322,4.3,6.5,,Debt: Corporate Bond,4.68,6.96,,7.48,1.78,AAA,1.92,7,7,7,9,30,Good,17,https://www.valueresearchonline.com/funds/43064/
Tata Corporate Bond Reg,debt,Corporate Bond,Regular,INF277KA1299,149351,4.38,6.84,,Debt: Corporate Bond,4.68,6.96,,7.98,3.03,AAA,4.38,8,5,6,9,28,Good,25,https://www.valueresearchonline.com/funds/41866/
Tata Corporate Bond Seg Port1 Reg,debt,Corporate Bond,Regular,,147392,,,,,,,,,,AA,,,,,,,N/A,1,https://www.valueresearchonline.com/funds/40076/
UTI Corporate Bond Reg,debt,Corporate Bond,Regular,INF789F1A447,144345,4.78,7.07,6.04,Debt: Corporate Bond,4.68,6.96,5.93,7.76,2.51,AAA,3.53,7,6,6,9,28,Good,25,https://www.valueresearchonline.com/funds/37138/
Union Corporate Bond Reg,debt,Corporate Bond,Regular,INF582M01DY7,143239,4.11,6.8,5.58,Debt: Corporate Bond,4.68,6.96,5.93,7.6,3.49,AAA,4.93,8,5,6,9,28,Good,25,https://www.valueresearchonline.com/funds/36078/
ABSL Credit Risk Reg,debt,Credit Risk,Regular,INF209KA1K47,134383,11.84,11.92,9.83,Debt: Credit Risk,7.72,8.86,9.27,8.4,1.99,AA,2.5,9,7,7,7,30,Good,25,https://www.valueresearchonline.com/funds/29944/
ABSL Credit Risk Seg Port1 Reg,debt,Credit Risk,Regular,,147801,,,,,,,,,,Cash,,,,,,,N/A,0,https://www.valueresearchonline.com/funds/40439/
Axis Credit Risk Reg,debt,Credit Risk,Regular,INF846K01PO5,130309,7.42,7.85,6.79,Debt: Credit Risk,7.72,8.86,9.27,8.91,2.29,AA,2.6,10,6,7,7,30,Good,25,https://www.valueresearchonline.com/funds/27226/
Bandhan Credit Risk Reg,debt,Credit Risk,Regular,INF194KA1W39,140609,4.43,6.18,5.37,Debt: Credit Risk,7.72,8.86,9.27,7.96,1.99,AAA,2.5,8,6,7,9,30,Good,17,https://www.valueresearchonline.com/funds/33486/
Bank of India Credit Risk Reg,debt,Credit Risk,Regular,INF090I01ET7,116153,16.89,9.58,27.36,Debt: Credit Risk,7.72,8.86,9.27,7.31,0.64,AAA,0.7,1,9,9,9,28,Good,11,https://www.valueresearchonline.com/funds/29479/
Baroda BNP Paribas Credit Risk Reg,debt,Credit Risk,Regular,INF955L01FP0,133486,6.15,7.53,8.42,Debt: Credit Risk,7.72,8.86,9.27,8.2,1.58,AAA,1.93,8,8,8,9,33,Good,25,https://www.valueresearchonline.com/funds/29235/
Baroda BNP Paribas Credit Risk Seg Port1 Reg,debt,Credit Risk,Regular,INF955L01IO7,148330,,,,,,,,,,,,,,,,,N/A,0,https://www.valueresearchonline.com/funds/40934/
DSP Credit Risk Reg,debt,Credit Risk,Regular,INF740K01599,101837,9.12,15.69,12.13,Debt: Credit Risk,7.72,8.86,9.27,7.75,2.4,AA,2.98,8,6,7,7,28,Good,22,https://www.valueresearchonline.com/funds/1723/
Franklin Ind Credit Risk Seg Port 2 Reg,debt,Credit Risk,Regular,INF761K01DH6,133867,,,,,,,,,,B,,,,,,,N/A,1,https://www.valueresearchonline.com/funds/40582/
Franklin Ind Credit Risk Seg Port 3 Reg,debt,Credit Risk,Regular,INF761K01DH6,133867,,,,,,,,,,,,,,,,,N/A,0,https://www.valueresearchonline.com/funds/40822/
HDFC Credit Risk Debt Reg,debt,Credit Risk,Regular,INF179KA1GC0,128053,6.48,7.46,6.53,Debt: Credit Risk,7.72,8.86,9.27,8.8,2.35,AA,3.48,10,6,6,7,29,Good,25,https://www.valueresearchonline.com/funds/25074/
HSBC Credit Risk Reg,debt,Credit Risk,Regular,INF917K01130,151043,5.43,10.92,8.57,Debt: Credit Risk,7.72,8.86,9.27,8.31,1.68,AAA,2.07,8,7,7,9,31,Good,25,https://www.valueresearchonline.com/funds/10700/
ICICI Pru Credit Risk,debt,Credit Risk,Regular,INF109K01GU4,114239,7.47,8.26,7.24,Debt: Credit Risk,7.72,8.86,9.27,8.93,2.15,AA,3.11,9,6,6,7,28,Good,25,https://www.valueresearchonline.com/funds/11783/
Invesco India Credit Risk Reg,debt,Credit Risk,Regular,INF205K01I34,130721,6.42,8.34,7.12,Debt: Credit Risk,7.72,8.86,9.27,7.96,2.75,AAA,3.61,7,7,7,9,30,Good,16,https://www.valueresearchonline.com/funds/27550/
Kotak Credit Risk Reg,debt,Credit Risk,Regular,INF174K01DY7,117716,6.55,7.45,5.69,Debt: Credit Risk,7.72,8.86,9.27,8.95,2.05,AA,2.93,10,6,7,7,30,Good,25,https://www.valueresearchonline.com/funds/11156/
Nippon India Credit Risk Inst,debt,Credit Risk,Regular,INF204K01FT7,112939,8.2,8.48,8.67,Debt: Credit Risk,7.72,8.86,9.27,9.12,2.11,AA,2.43,10,6,7,7,30,Good,25,https://www.valueresearchonline.com/funds/10579/
Nippon India Credit Risk Reg,debt,Credit Risk,Regular,,138905,7.37,8.15,8.42,Debt: Credit Risk,7.72,8.86,9.27,9.12,2.11,AA,2.43,10,6,7,7,30,Good,25,https://www.valueresearchonline.com/funds/2789/
Nippon India Credit Risk Seg Port 1 Inst,debt,Credit Risk,Regular,INF204KB13Q7,148263,,,,,,,,8.79,2.04,B,2.34,,,,,,N/A,1,https://www.valueresearchonline.com/funds/40700/
Nippon India Credit Risk Seg Port 1 Reg,debt,Credit Risk,Regular,,148217,,,,,,,,8.79,2.04,B,2.34,,,,,,N/A,1,https://www.valueresearchonline.com/funds/40694/
Nippon India Credit Risk Seg Port 2 Inst,debt,Credit Risk,Regular,INF204KB13Q7,148094,,,,,,,,,,,,,,,,,N/A,0,https://www.valueresearchonline.com/funds/40842/
Nippon India Credit Risk Seg Port 2 Reg,debt,Credit Risk,Regular,,148217,,,,,,,,,,,,,,,,,N/A,0,https://www.valueresearchonline.com/funds/40836/
SBI Credit Risk Reg,debt,Credit Risk,Regular,INF200K01685,102505,6.81,7.64,6.94,Debt: Credit Risk,7.72,8.86,9.27,8.7,2.18,AA,2.73,10,6,7,7,30,Good,25,https://www.valueresearchonline.com/funds/2298/
UTI Credit Risk Reg,debt,Credit Risk,Regular,INF789F01QZ1,117981,5.69,7,9.38,Debt: Credit Risk,7.72,8.86,9.27,8.32,2.14,AAA,2.69,9,6,7,9,31,Good,23,https://www.valueresearchonline.com/funds/15382/
UTI Credit Risk Seg Port 2 Reg,debt,Credit Risk,Regular,INF789F01QZ1,117981,,,,,,,,,,Cash,0,,,,,,N/A,0,https://www.valueresearchonline.com/funds/40755/
UTI Credit Risk Seg Port 3 Reg,debt,Credit Risk,Regular,INF789F01QZ1,117981,,,,,,,,,,Cash,,,,,,,N/A,1,https://www.valueresearchonline.com/funds/40900/
UTI Credit Risk Seg Port Reg,debt,Credit Risk,Regular,INF789F01QZ1,117981,,,,,,,,,,Cash,0,,,,,,N/A,0,https://www.valueresearchonline.com/funds/40284/
360 ONE Dynamic Bond Reg,debt,Dynamic Bond,Regular,INF579M01183,122612,5.08,7.76,6.75,Debt: Dynamic Bond,3.1,6.22,5.62,7.82,4.52,AAA,6.01,8,4,5,9,26,Average,25,https://www.valueresearchonline.com/funds/19779/
ABSL Dyn Bond Seg Port1 Reg,debt,Dynamic Bond,Regular,,147804,,,,,,,,,,Cash,,,,,,,N/A,0,https://www.valueresearchonline.com/funds/40454/
ABSL Dynamic Bond Reg,debt,Dynamic Bond,Regular,INF209K01793,102767,4.31,7.07,6.69,Debt: Dynamic Bond,3.1,6.22,5.62,8.58,4.8,AAA,8.22,10,4,4,9,27,Average,25,https://www.valueresearchonline.com/funds/2458/
Axis Dynamic Bond Reg,debt,Dynamic Bond,Regular,INF846K01917,115068,4.85,7.01,5.88,Debt: Dynamic Bond,3.1,6.22,5.62,7.26,5.22,AAA,10.79,7,3,3,9,22,Average,25,https://www.valueresearchonline.com/funds/12599/
Bandhan Dynamic Bond Reg,debt,Dynamic Bond,Regular,INF194K01QG4,111524,5.23,6.52,5.31,Debt: Dynamic Bond,3.1,6.22,5.62,7.71,8.33,AAA,21.29,7,2,3,9,21,Average,15,https://www.valueresearchonline.com/funds/10016/
Baroda BNP Paribas Dynamic Bond Reg,debt,Dynamic Bond,Regular,INF251K01DW7,150173,0.99,5.3,4.99,Debt: Dynamic Bond,3.1,6.22,5.62,7.47,3.75,AAA,5.62,6,5,5,9,25,Average,18,https://www.valueresearchonline.com/funds/2348/
Baroda BNP Paribas Dynamic Bond Reg A,debt,Dynamic Bond,Regular,INF251K01DW7,150173,0.99,5.29,5.13,Debt: Dynamic Bond,3.1,6.22,5.62,7.47,3.75,AAA,5.62,6,5,5,9,25,Average,18,https://www.valueresearchonline.com/funds/10230/
Canara Robeco Dynamic Bond Reg,debt,Dynamic Bond,Regular,INF760K01449,111962,1.03,4.73,4.29,Debt: Dynamic Bond,3.1,6.22,5.62,6.97,2.76,AAA,4.54,5,6,6,9,26,Average,9,https://www.valueresearchonline.com/funds/10448/
DSP Strategic Bond Reg,debt,Dynamic Bond,Regular,INF740K01GK7,105669,1.58,5.85,5.32,Debt: Dynamic Bond,3.1,6.22,5.62,7.57,8.17,AAA,18.9,8,2,2,9,21,Average,15,https://www.valueresearchonline.com/funds/5013/
Franklin Ind Dyn Accrual Seg Port 2 Reg,debt,Dynamic Bond,Regular,INF090I01BB1,100538,,,,,,,,4.17,0.01,B,0.01,,,,,,N/A,1,https://www.valueresearchonline.com/funds/40598/
Franklin Ind Dyn Accrual Seg Port 3 Reg,debt,Dynamic Bond,Regular,INF090I01BB1,100538,,,,,,,,,,,,,,,,,N/A,0,https://www.valueresearchonline.com/funds/40826/
Groww Dynamic Term Reg,debt,Dynamic Bond,Regular,INF666M01ES8,145590,1.59,4.68,4.39,Debt: Dynamic Bond,3.1,6.22,5.62,7.24,4.35,AAA,8.42,5,6,6,9,26,Average,11,https://www.valueresearchonline.com/funds/38295/
HDFC Dynamic Debt Reg,debt,Dynamic Bond,Regular,INF179K01848,101872,2.68,6.02,6.06,Debt: Dynamic Bond,3.1,6.22,5.62,7.53,7.69,AAA,19.74,8,2,2,9,21,Average,25,https://www.valueresearchonline.com/funds/395/
HSBC Dynamic Bond Reg,debt,Dynamic Bond,Regular,INF677K01916,151084,2.81,6.31,5.3,Debt: Dynamic Bond,3.1,6.22,5.62,7.4,3.98,AAA,7.15,7,4,4,9,24,Average,18,https://www.valueresearchonline.com/funds/3611/
ICICI Pru All Seasons Bond,debt,Dynamic Bond,Regular,INF109K01GN9,112096,4.53,7.06,6.37,Debt: Dynamic Bond,3.1,6.22,5.62,8.22,6.21,AAA,13.66,9,3,3,9,24,Average,25,https://www.valueresearchonline.com/funds/10444/
ICICI Pru All Seasons Bond Ret,debt,Dynamic Bond,Regular,INF109K01605,101127,4.53,7.06,6.37,Debt: Dynamic Bond,3.1,6.22,5.62,8.22,6.21,AAA,13.66,9,3,3,9,24,Average,25,https://www.valueresearchonline.com/funds/1277/
ICICI Pru Retirement Pure Debt,debt,Dynamic Bond,Regular,INF109KC1UC4,146726,3.3,5.91,5.04,Debt: Dynamic Bond,3.1,6.22,5.62,7.77,4.25,AAA,10,8,4,4,9,25,Average,18,https://www.valueresearchonline.com/funds/39071/
ITI Dynamic Bond Reg,debt,Dynamic Bond,Regular,INF00XX01AT0,149021,1.17,5.56,,Debt: Dynamic Bond,3.1,6.22,,5.45,0.04,GOI/Cash,0.04,2,6,6,10,24,Average,3,https://www.valueresearchonline.com/funds/41558/
JM Dynamic Bond Reg,debt,Dynamic Bond,Regular,INF192K01700,101806,2.69,6.25,5.62,Debt: Dynamic Bond,3.1,6.22,5.62,7.17,2.23,AAA,2.63,5,6,7,9,27,Average,15,https://www.valueresearchonline.com/funds/1765/
Kotak Dynamic Bond Reg,debt,Dynamic Bond,Regular,INF174K01FA2,108511,4.11,6.85,5.75,Debt: Dynamic Bond,3.1,6.22,5.62,7.82,5.41,AAA,12.45,8,3,3,9,23,Average,25,https://www.valueresearchonline.com/funds/7857/
Mahindra Manulife Dynamic Bond Reg,debt,Dynamic Bond,Regular,INF174V01531,144401,3.59,6.22,4.82,Debt: Dynamic Bond,3.1,6.22,5.62,7.67,5.83,AAA,13.5,8,3,3,9,23,Average,14,https://www.valueresearchonline.com/funds/37124/
Mirae Asset Dynamic Bond Reg,debt,Dynamic Bond,Regular,INF769K01DO5,140771,4.8,6.32,4.98,Debt: Dynamic Bond,3.1,6.22,5.62,7,0.7,AAA,0.72,6,9,9,9,33,Good,14,https://www.valueresearchonline.com/funds/33704/
Nippon India Dynamic Bond Reg,debt,Dynamic Bond,Regular,INF204K01FI0,102849,4.06,7.03,5.92,Debt: Dynamic Bond,3.1,6.22,5.62,7.49,3.56,AAA,4.1,7,5,6,9,27,Average,25,https://www.valueresearchonline.com/funds/2513/
PGIM India Dynamic Bond Reg,debt,Dynamic Bond,Regular,INF663L01484,116485,2.15,5.94,5.04,Debt: Dynamic Bond,3.1,6.22,5.62,6.92,4.02,AAA,5.48,6,4,4,9,23,Average,19,https://www.valueresearchonline.com/funds/13899/
Quantum Dynamic Bond Reg,debt,Dynamic Bond,Regular,INF082J01218,141061,2.94,6.73,6.12,Debt: Dynamic Bond,3.1,6.22,5.62,6.91,3.89,AAA,5.94,5,5,5,9,24,Average,15,https://www.valueresearchonline.com/funds/33960/
SBI Dynamic Bond Reg,debt,Dynamic Bond,Regular,INF200K01958,102205,3.91,6.49,5.93,Debt: Dynamic Bond,3.1,6.22,5.62,7.82,3.78,AAA,5.4,7,6,6,9,28,Good,24,https://www.valueresearchonline.com/funds/2025/
UTI Dyn Bond Seg Port Reg,debt,Dynamic Bond,Regular,INF789F01JQ5,113077,,,,,,,,,,B,0.07,,,,,,N/A,1,https://www.valueresearchonline.com/funds/40745/
UTI Dynamic Bond Reg,debt,Dynamic Bond,Regular,INF789F01JQ5,113077,3.5,6.51,8.7,Debt: Dynamic Bond,3.1,6.22,5.62,7.46,2.34,AAA,4.29,6,6,6,9,27,Average,20,https://www.valueresearchonline.com/funds/11306/
