Fund Name,Category,Subcategory,Plan,isin,scheme_code,1Y Return (%),3Y Return (%),5Y Return (%),Benchmark Name,Benchmark 1Y (%),Benchmark 3Y (%),Benchmark 5Y (%),YTM (%),Macaulay Duration (yrs),Avg Credit Rating,Avg Maturity (yrs),ytm_score,duration_score,maturity_score,credit_score,total_score,fund_rating,Top Holdings Count,Fund URL
Bajaj Finserv Gilt Dir,debt,Gilt,Direct,INF0QA701AP9,153206,2.13,,,Debt: Gilt,2.48,,,7.15,8.67,GOI/Cash,23.78,4,3,3,10,20,Average,4,https://www.valueresearchonline.com/funds/44862/
Bandhan Gilt Dir,debt,Gilt,Direct,INF194K01Q29,118464,6.68,7.8,6.48,Debt: Gilt,2.48,6.43,5.85,7.14,7.32,GOI/Cash,10.48,8,1,1,10,20,Average,2,https://www.valueresearchonline.com/funds/16715/
Baroda BNP Paribas Gilt Dir,debt,Gilt,Direct,INF955L01AD7,119341,1.85,6.56,5.88,Debt: Gilt,2.48,6.43,5.85,7.23,7.53,GOI/Cash,15.62,6,2,2,10,20,Average,15,https://www.valueresearchonline.com/funds/15706/
Canara Robeco Gilt Dir,debt,Gilt,Direct,INF760K01FC4,118299,1.95,6.08,5.51,Debt: Gilt,2.48,6.43,5.85,6.76,3.82,GOI/Cash,6.32,5,5,5,10,25,Average,7,https://www.valueresearchonline.com/funds/15745/
DSP Gilt Dir,debt,Gilt,Direct,INF740K01NF3,119099,2.66,6.75,6.13,Debt: Gilt,2.48,6.43,5.85,7.8,11.44,GOI/Cash,27.34,8,1,1,10,20,Average,7,https://www.valueresearchonline.com/funds/16391/
Edelweiss Government Securities Dir,debt,Gilt,Direct,INF843K01GS2,140298,1.49,6.21,5.77,Debt: Gilt,2.48,6.43,5.85,7.61,10.23,GOI/Cash,23.21,7,2,1,10,20,Average,8,https://www.valueresearchonline.com/funds/24229/
Franklin India Government Securities Dir,debt,Gilt,Direct,INF090I01HS2,118498,4.09,6.22,5.43,Debt: Gilt,2.48,6.43,5.85,6.78,2.59,GOI/Cash,8.59,6,4,3,10,23,Average,12,https://www.valueresearchonline.com/funds/16888/
Groww Gilt Dir,debt,Gilt,Direct,INF666M01KK2,153477,1.05,,,Debt: Gilt,2.48,,,6.78,7.4,GOI/Cash,20.76,7,1,1,10,19,Average,6,https://www.valueresearchonline.com/funds/45121/
HDFC Gilt Dir,debt,Gilt,Direct,INF179K01VS0,119116,2.67,6.57,5.72,Debt: Gilt,2.48,6.43,5.85,7.52,8.93,GOI/Cash,21.22,8,2,1,10,21,Average,25,https://www.valueresearchonline.com/funds/16046/
HSBC Gilt Dir,debt,Gilt,Direct,INF917K01FI7,151014,1.5,5.97,5.43,Debt: Gilt,2.48,6.43,5.85,7.11,6.74,GOI/Cash,15.55,6,2,2,10,20,Average,9,https://www.valueresearchonline.com/funds/16236/
