Fund Name,Category,Subcategory,Plan,1Y Return (%),3Y Return (%),5Y Return (%),Benchmark Name,Benchmark 1Y (%),Benchmark 3Y (%),Benchmark 5Y (%),Alpha,Beta,Sharpe Ratio,Std Dev,Mean Return (%),YTM (%),Macaulay Duration (yrs),Avg Credit Rating,Avg Maturity (yrs),Top Holdings Count,Fund URL,ISIN,Scheme Code,Duration Score (3),Maturity Score (3),YTM Score (3),Credit Score (3),Debt Quality (12),Std Dev Score (3),Sharpe Score (3),Sortino Score (3),Mean Return Score (3),Risk & Return (12),Num Stocks Score (2.5),Top10 Score (2.5),Top5 Score (2.5),Top3 Sectors Score (2.5),Diversification (10),PE Score (2),PB Score (2),Valuation (4),Num Securities Score (2),Portfolio Breadth (2),Total Score (40),Risk Category,Fund Rating
ICICI Pru Aggressive Hybrid Active FoF Dir*,hybrid,Aggressive Hybrid,Direct,0.6,16.24,15.5,Hybrid: Aggressive Hybrid,3.63,13.47,12.46,,,0.83,12.07,15.9,,,AAA,,7,https://www.valueresearchonline.com/funds/17838/,INF109K01X40,120700,,,,,,,,,,,,,,,,,,,,,,,
ICICI Pru Children's Dir,hybrid,Aggressive Hybrid,Direct,2.76,16.08,14.38,Hybrid: Aggressive Hybrid,3.63,13.47,12.46,,1.46,0.73,14.84,16.73,,,AAA,,25,https://www.valueresearchonline.com/funds/15940/,INF109K01Y49,120579,1,1,1,3,6,1,2,2,3,8,2,2,2,1.5,7.5,1.5,1.5,3,1.5,1.5,26,Moderate Risk,Average
ICICI Pru Equity & Debt Dir,hybrid,Aggressive Hybrid,Direct,4.64,16.81,17.51,Hybrid: Aggressive Hybrid,3.63,13.47,12.46,,1.03,0.96,10.84,16.26,7.46,3.65,AAA,7.07,25,https://www.valueresearchonline.com/funds/15815/,INF109K01Y07,120251,2,1,2,3,8,2,2,2,3,9,2.5,2,2,2,8.5,1.5,1.5,3,2,2,30.5,Low Risk,Good
ICICI Pru Retirement Hybrid Aggressive Dir,hybrid,Aggressive Hybrid,Direct,12.2,21.32,17.74,Hybrid: Aggressive Hybrid,3.63,13.47,12.46,,1.3,1.08,13.96,20.94,7.35,3.06,AAA,6.82,25,https://www.valueresearchonline.com/funds/39059/,INF109KC1TW4,146721,2,2,2,3,9,1,1,1,1,4,2,2.5,2.5,1.5,8.5,1.5,1,2.5,1.5,1.5,25.5,Moderate Risk,Average
Invesco India Aggressive Hybrid Dir,hybrid,Aggressive Hybrid,Direct,-4.47,13.03,11.61,Hybrid: Aggressive Hybrid,3.63,13.47,12.46,,1.17,0.55,12.62,12.87,7.51,1.2,AAA,1.33,25,https://www.valueresearchonline.com/funds/36540/,INF205K014Q7,143537,2,2,2,3,9,1,1,1,1,4,2,2,2,2,8,1.5,1.5,3,1.5,1.5,25.5,Moderate Risk,Average
JM Aggressive Hybrid Dir,hybrid,Aggressive Hybrid,Direct,-2.02,15.99,14.54,Hybrid: Aggressive Hybrid,3.63,13.47,12.46,,1.15,0.74,14.09,16.27,7.8,2.52,AAA,2.99,25,https://www.valueresearchonline.com/funds/17144/,INF192K01BQ9,120484,2,2,2,3,9,1,1,1,1,4,1.5,2,2.5,1.5,7.5,1.5,1.5,3,1.5,1.5,25,Moderate Risk,Average
Kotak Aggressive Hybrid Dir,hybrid,Aggressive Hybrid,Direct,6.4,14.92,13.72,Hybrid: Aggressive Hybrid,3.63,13.47,12.46,,,0.68,12.99,14.73,7.2,4.07,AAA,9.32,25,https://www.valueresearchonline.com/funds/16338/,INF174K01F00,133035,1,1,2,3,7,1,1,1,1,4,2,2,2.5,1.5,8,1.5,1.5,3,1.5,1.5,23.5,Moderate Risk,Average
LIC MF Aggressive Hybrid Dir,hybrid,Aggressive Hybrid,Direct,0.74,11.95,10.04,Hybrid: Aggressive Hybrid,3.63,13.47,12.46,,1.15,0.49,12.42,11.9,6.78,4.11,AAA,8.03,25,https://www.valueresearchonline.com/funds/16765/,INF767K01ED0,120261,1,1,1,3,6,1,1,1,1,4,2,2.5,2.5,2,9,1.5,1.5,3,1.5,1.5,23.5,Moderate Risk,Average
LIC MF ULIS Dir,hybrid,Aggressive Hybrid,Direct,-1.92,9.37,9.53,Hybrid: Aggressive Hybrid,3.63,13.47,12.46,,,0.27,11.63,8.99,,,AAA,,25,https://www.valueresearchonline.com/funds/17866/,INF0QA701607,152162,1,1,1,3,6,2,1,1,2,6,1.5,2,2,2,7.5,1.5,1.5,3,1.5,1.5,24,Moderate Risk,Average
Mahindra Manulife Aggressive Hybrid Dir,hybrid,Aggressive Hybrid,Direct,0.87,14.62,13.98,Hybrid: Aggressive Hybrid,3.63,13.47,12.46,,,0.73,11.67,14.38,7.68,2.88,AAA,4.92,25,https://www.valueresearchonline.com/funds/40094/,INF174V01788,147446,2,2,2,3,9,1,1,1,1,4,2,2,2,1.5,7.5,1.5,1.5,3,1.5,1.5,25,Moderate Risk,Average
