Fund Name,Category,Subcategory,Plan,1Y Return (%),3Y Return (%),5Y Return (%),Benchmark Name,Benchmark 1Y (%),Benchmark 3Y (%),Benchmark 5Y (%),Alpha,Beta,Sharpe Ratio,Std Dev,Mean Return (%),YTM (%),Macaulay Duration (yrs),Avg Credit Rating,Avg Maturity (yrs),Top Holdings Count,Fund URL,ISIN,Scheme Code,Duration Score (3),Maturity Score (3),YTM Score (3),Credit Score (3),Debt Quality (12),Std Dev Score (3),Sharpe Score (3),Sortino Score (3),Mean Return Score (3),Risk & Return (12),Num Stocks Score (2.5),Top10 Score (2.5),Top5 Score (2.5),Top3 Sectors Score (2.5),Diversification (10),PE Score (2),PB Score (2),Valuation (4),Num Securities Score (2),Portfolio Breadth (2),Total Score (40),Risk Category,Fund Rating
Mahindra Manulife Arbitrage Dir,hybrid,Arbitrage,Direct,6.02,6.51,5.68,Hybrid: Arbitrage,6.39,7.38,6.46,,,0.67,0.42,6.15,5.33,0,GOI/Cash,0,24,https://www.valueresearchonline.com/funds/41084/,INF174V01AA0,148468,3,3,1,3,10,3,1,1,1,6,1,1,1,1,4,1.5,1.5,3,1.5,1.5,24.5,Moderate Risk,Average
Mirae Asset Arbitrage Dir,hybrid,Arbitrage,Direct,6.46,7.54,6.6,Hybrid: Arbitrage,6.39,7.38,6.46,,,2.69,0.49,7.19,5.34,0.01,GOI/Cash,0.01,25,https://www.valueresearchonline.com/funds/41014/,INF769K01FS1,148401,3,3,1,3,10,3,3,3,1,10,2.5,2.5,2.5,1,8.5,1.5,1.5,3,2,2,33.5,Low Risk,Good
Motilal Oswal Arbitrage Dir,hybrid,Arbitrage,Direct,7.08,,,Hybrid: Arbitrage,6.39,,,,,,,,6.06,0.22,GOI/Cash,0.22,25,https://www.valueresearchonline.com/funds/44839/,INF247L01ED1,153187,3,3,2,3,11,1,1,1,1,4,2.5,2,1.5,2.5,8.5,1.5,1.5,3,2,2,28.5,Low Risk,Good
NJ Arbitrage Dir,hybrid,Arbitrage,Direct,6.1,7,,Hybrid: Arbitrage,6.39,7.38,,,,1.66,0.49,6.68,5.64,0.37,GOI/Cash,0.37,25,https://www.valueresearchonline.com/funds/42435/,INF0J8L01065,150367,3,3,1,3,10,3,3,3,1,10,1.5,1.5,1.5,1,5.5,2,2,4,1.5,1.5,31,Low Risk,Good
Nippon India Arbitrage Dir,hybrid,Arbitrage,Direct,6.47,7.49,6.64,Hybrid: Arbitrage,6.39,7.38,6.46,,,2.66,0.47,7.11,,,GOI/Cash,,25,https://www.valueresearchonline.com/funds/17008/,INF204K01XZ7,118585,1,1,1,3,6,3,3,3,1,10,2.5,2,2,1,7.5,1.5,1.5,3,2,2,28.5,Low Risk,Good
Old Bridge Arbitrage Dir,hybrid,Arbitrage,Direct,,,,Hybrid: Arbitrage,,,,,,,,,,,GOI/Cash,,25,https://www.valueresearchonline.com/funds/45603/,INF0S5R01125,153979,1,1,1,3,6,1,1,1,1,4,2,2,2,1,7,1.5,1.5,3,2,2,22,Moderate Risk,Average
PGIM India Arbitrage Dir,hybrid,Arbitrage,Direct,6.13,7.21,6.31,Hybrid: Arbitrage,6.39,7.38,6.46,,0.51,2.09,0.48,6.87,,,GOI/Cash,,21,https://www.valueresearchonline.com/funds/27877/,INF223J013N7,138875,1,1,1,3,6,3,3,2,1,9,1,1,1,1,4,1.5,1.5,3,1.5,1.5,23.5,Moderate Risk,Average
Parag Parikh Arbitrage Dir,hybrid,Arbitrage,Direct,6.25,,,Hybrid: Arbitrage,6.39,,,,,,,,6.91,0.25,GOI/Cash,0.25,25,https://www.valueresearchonline.com/funds/43816/,INF879O01225,152109,3,3,2,3,11,1,1,1,1,4,2.5,2,2,1,7.5,1.5,2,3.5,2,2,28,Low Risk,Good
Quant Arbitrage Dir,hybrid,Arbitrage,Direct,7.34,,,Hybrid: Arbitrage,6.39,,,,,,,,,,GOI/Cash,,25,https://www.valueresearchonline.com/funds/45075/,INF966L01DW8,153426,1,1,1,3,6,1,1,1,1,4,1.5,1.5,1.5,2.5,7,2,1.5,3.5,1.5,1.5,22,Moderate Risk,Average
SBI Arbitrage Opportunities Dir,hybrid,Arbitrage,Direct,6.36,7.47,6.7,Hybrid: Arbitrage,6.39,7.38,6.46,,0.63,2.62,0.47,7.1,7.12,0.38,GOI/Cash,0.42,25,https://www.valueresearchonline.com/funds/17570/,INF200K01QU0,119574,3,3,2,3,11,3,3,3,1,10,2.5,2,2,1,7.5,1.5,1.5,3,2,2,33.5,Low Risk,Good
Samco Arbitrage Dir,hybrid,Arbitrage,Direct,5.04,,,Hybrid: Arbitrage,6.39,,,,,,,,,,Cash,,18,https://www.valueresearchonline.com/funds/44723/,INF0K1H01214,153090,1,1,1,3,6,1,1,1,1,4,1,1,1,1,4,1.5,1.5,3,1,1,18,Moderately High Risk,Average
Sundaram Arbitrage Dir,hybrid,Arbitrage,Direct,6.6,7.37,6.26,Hybrid: Arbitrage,6.39,7.38,6.46,,,2.83,0.4,6.99,5.02,0.33,GOI/Cash,0.34,25,https://www.valueresearchonline.com/funds/32287/,,147927,3,3,1,3,10,3,3,3,1,10,1.5,1.5,1.5,2.5,7,2,2,4,1.5,1.5,32.5,Low Risk,Good
TRUSTMF Arbitrage Dir,hybrid,Arbitrage,Direct,,,,Hybrid: Arbitrage,,,,,,,,,,,GOI/Cash,,25,https://www.valueresearchonline.com/funds/45455/,INF0GCD01859,153804,1,1,1,3,6,1,1,1,1,4,1.5,1.5,1.5,1,5.5,1.5,2,3.5,1.5,1.5,20.5,Moderate Risk,Average
Tata Arbitrage Dir,hybrid,Arbitrage,Direct,6.62,7.65,6.71,Hybrid: Arbitrage,6.39,7.38,6.46,,,3,0.47,7.28,7.82,0.57,GOI/Cash,0.58,25,https://www.valueresearchonline.com/funds/38502/,INF277K017Q3,145724,3,3,2,3,11,3,3,3,1,10,2.5,2,2,1,7.5,1.5,1.5,3,2,2,33.5,Low Risk,Good
The Wealth Company Arbtg Dir,hybrid,Arbitrage,Direct,,,,Hybrid: Arbitrage,,,,,,,,,,,GOI/Cash,,25,https://www.valueresearchonline.com/funds/45515/,INF2F0001271,153891,1,1,1,3,6,1,1,1,1,4,2,2,2,1,7,1.5,1.5,3,1.5,1.5,21.5,Moderate Risk,Average
UTI Arbitrage Dir,hybrid,Arbitrage,Direct,6.43,7.52,6.56,Hybrid: Arbitrage,6.39,7.38,6.46,,0.5,2.63,0.49,7.15,7.6,0.6,GOI/Cash,0.6,25,https://www.valueresearchonline.com/funds/17771/,INF789FB1RG6,120795,3,3,1,3,10,3,3,3,1,10,2.5,2,2,1,7.5,1.5,1.5,3,2,2,32.5,Low Risk,Good
Union Arbitrage Dir,hybrid,Arbitrage,Direct,6.21,7.34,6.36,Hybrid: Arbitrage,6.39,7.38,6.46,,,2.19,0.51,6.98,6.62,0.49,GOI/Cash,0.49,25,https://www.valueresearchonline.com/funds/38971/,INF582M01ES7,146297,3,3,1,3,10,3,3,3,1,10,2,2,2,1,7,1.5,1.5,3,2,2,32,Low Risk,Good
WhiteOak Capital Arbitrage Dir,hybrid,Arbitrage,Direct,6.83,,,Hybrid: Arbitrage,6.39,,,,,,,,6.23,0.29,GOI/Cash,0.29,25,https://www.valueresearchonline.com/funds/44529/,INF03VN01910,152849,3,3,1,3,10,1,1,1,1,4,2.5,2,2,2.5,9,1.5,1.5,3,2,2,28,Low Risk,Good
ABSL Arbitrage Reg,hybrid,Arbitrage,Regular,5.73,6.83,5.9,Hybrid: Arbitrage,5.67,6.67,5.75,,,1.32,0.48,6.5,7.67,0.63,GOI/Cash,0.71,25,https://www.valueresearchonline.com/funds/10586/,INF209K01264,112088,1,1,1,1,4,3,3,3,1,10,1,1,1,1,4,1,1,2,1,1,21,Moderate Risk,Average
Axis Arbitrage Reg,hybrid,Arbitrage,Regular,5.73,6.79,5.93,Hybrid: Arbitrage,5.67,6.67,5.75,,0.62,1.23,0.48,6.46,7.02,0.66,GOI/Cash,0.66,25,https://www.valueresearchonline.com/funds/27585/,INF846K01QC8,130771,3,3,2,3,11,3,3,3,1,10,2.5,2,2,1,7.5,1.5,1.5,3,2,2,33.5,Low Risk,Good
Bajaj Finserv Arbitrage Reg,hybrid,Arbitrage,Regular,5.64,,,Hybrid: Arbitrage,5.67,,,,0.53,,,,6.78,0.31,GOI/Cash,0.31,25,https://www.valueresearchonline.com/funds/43768/,INF0QA701508,152079,3,3,1,3,10,1,1,1,1,4,2.5,1.5,1,1,6,1.5,2,3.5,2,2,25.5,Moderate Risk,Average
Bandhan Arbitrage Reg,hybrid,Arbitrage,Regular,5.49,6.72,5.83,Hybrid: Arbitrage,5.67,6.67,5.75,,,1.08,0.49,6.4,,,GOI/Cash,,25,https://www.valueresearchonline.com/funds/3971/,INF194K01649,108845,1,1,1,3,6,3,3,3,1,10,2.5,2,2,1,7.5,1.5,2,3.5,2,2,29,Low Risk,Good
Bank of India Arbitrage Reg,hybrid,Arbitrage,Regular,5.35,6.26,5.1,Hybrid: Arbitrage,5.67,6.67,5.75,,,0.27,0.46,5.99,6.2,0.22,GOI/Cash,0.22,25,https://www.valueresearchonline.com/funds/36388/,INF761K01DW5,143620,3,3,1,3,10,3,3,2,1,9,1.5,1.5,2,1,6,1.5,2,3.5,1.5,1.5,30,Low Risk,Good
Baroda BNP Paribas Arbitrage Reg,hybrid,Arbitrage,Regular,5.45,6.69,5.72,Hybrid: Arbitrage,5.67,6.67,5.75,,0.55,1.02,0.5,6.38,6.73,0.24,GOI/Cash,0.25,25,https://www.valueresearchonline.com/funds/33242/,INF251K01ON3,150250,3,3,1,3,10,3,3,3,1,10,2.5,2,1.5,1,7,1.5,1.5,3,2,2,32,Low Risk,Good
Capitalmind Arbitrage Reg,hybrid,Arbitrage,Regular,,,,Hybrid: Arbitrage,,,,,,,,,6.1,0.06,GOI/Cash,0.06,25,https://www.valueresearchonline.com/funds/45857/,INF226401141,154233,1,1,1,1,4,1,1,1,1,4,1,1,1,1,4,1,1,2,1,1,15,Moderately High Risk,Average
DSP Arbitrage Reg,hybrid,Arbitrage,Regular,5.62,6.7,5.81,Hybrid: Arbitrage,5.67,6.67,5.75,,,1.1,0.47,6.39,,,GOI/Cash,,0,https://www.valueresearchonline.com/funds/35108/,INF740KA1DI4,142282,3,3,2,3,11,3,3,3,1,10,2.5,2,2,1,7.5,2,2,4,2,2,34.5,Very Low Risk,Good
Edelweiss Arbitrage Reg,hybrid,Arbitrage,Regular,5.72,6.87,6,Hybrid: Arbitrage,5.67,6.67,5.75,,,1.38,0.49,6.54,7.31,0.53,GOI/Cash,0.53,25,https://www.valueresearchonline.com/funds/27142/,INF754K01EF3,130205,3,3,2,3,11,3,3,3,1,10,2.5,2,2,1,7.5,1.5,1.5,3,2,2,33.5,Low Risk,Good
Franklin India Arbitrage Reg,hybrid,Arbitrage,Regular,6,,,Hybrid: Arbitrage,5.67,,,,,,,,7.67,0.64,AAA,0.67,25,https://www.valueresearchonline.com/funds/44701/,INF761K01DW5,143620,3,3,2,3,11,1,1,1,1,4,2.5,2,2,1,7.5,1.5,1.5,3,2,2,27.5,Low Risk,Good
Groww Arbitrage Reg,hybrid,Arbitrage,Regular,,,,Hybrid: Arbitrage,,,,,,,,,,,CASH,,25,https://www.valueresearchonline.com/funds/45944/,INF666M01OQ1,154325,,,,,,,,,,,,,,,,,,,,,,,
HDFC Arbitrage Reg,hybrid,Arbitrage,Regular,5.89,6.91,5.95,Hybrid: Arbitrage,5.67,6.67,5.75,,,1.47,0.48,6.58,7.59,0.59,GOI/Cash,0.59,25,https://www.valueresearchonline.com/funds/6037/,INF277KA1299,149351,3,3,1,3,10,3,3,3,1,10,2.5,2,2,1,7.5,1.5,1.5,3,2,2,32.5,Low Risk,Good
HDFC Arbitrage Retail,hybrid,Arbitrage,Regular,,,,,,,,,,,,,7.59,0.59,GOI/Cash,0.59,0,https://www.valueresearchonline.com/funds/6034/,INF179K01343,106793,,,,,,,,,,,,,,,,,,,,,,,
HSBC Arbitrage Reg,hybrid,Arbitrage,Regular,5.76,6.72,5.77,Hybrid: Arbitrage,5.67,6.67,5.75,,0.61,1.09,0.48,6.39,7.52,0.62,GOI/Cash,0.62,25,https://www.valueresearchonline.com/funds/27296/,INF917K01QL8,151134,1,1,1,3,6,3,3,3,1,10,2.5,1.5,1.5,1,6.5,1.5,2,3.5,2,2,28,Low Risk,Good
Helios Arbitrage Reg,hybrid,Arbitrage,Regular,,,,Hybrid: Arbitrage,,,,,,,,,,,GOI/Cash,,25,https://www.valueresearchonline.com/funds/45889/,INF0R8701426,154260,1,1,1,1,4,1,1,1,1,4,1,1,1,1,4,1,1,2,1,1,15,Moderately High Risk,Average
ICICI Pru Equity Arbitrage,hybrid,Arbitrage,Regular,5.8,6.88,5.98,Hybrid: Arbitrage,5.67,6.67,5.75,,,1.42,0.48,6.55,7.57,0.65,GOI/Cash,0.65,25,https://www.valueresearchonline.com/funds/3902/,,130898,3,3,1,3,10,3,3,3,1,10,2.5,2,2,1,7.5,1.5,1.5,3,2,2,32.5,Low Risk,Good
ITI Arbitrage Reg,hybrid,Arbitrage,Regular,5.71,6.71,5.22,Hybrid: Arbitrage,5.67,6.67,5.75,,0.57,1.26,0.48,6.47,,,GOI/Cash,,25,https://www.valueresearchonline.com/funds/40253/,INF00XX01416,147618,1,1,1,3,6,3,3,3,1,10,1.5,1.5,1.5,2.5,7,1.5,1.5,3,1.5,1.5,27.5,Low Risk,Good
Invesco India Arbitrage Reg,hybrid,Arbitrage,Regular,5.91,6.93,6.17,Hybrid: Arbitrage,5.67,6.67,5.75,,0.6,1.62,0.46,6.61,7.06,0.47,GOI/Cash,0.49,25,https://www.valueresearchonline.com/funds/4840/,INF205K01122,105603,3,3,1,3,10,3,3,3,1,10,2.5,2,2,2.5,9,1.5,1.5,3,2,2,34,Very Low Risk,Good
JM Arbitrage Reg,hybrid,Arbitrage,Regular,5.46,6.42,5.51,Hybrid: Arbitrage,5.67,6.67,5.75,,0.62,0.54,0.48,6.13,5.12,0.22,GOI/Cash,0.22,25,https://www.valueresearchonline.com/funds/3446/,INF192K01510,103780,3,3,1,3,10,3,3,3,1,10,2.5,2,2,1,7.5,2,2,4,2,2,33.5,Low Risk,Good
Kotak Arbitrage Reg,hybrid,Arbitrage,Regular,5.83,7.02,6.15,Hybrid: Arbitrage,5.67,6.67,5.75,,,1.6,0.51,6.68,7.75,0.59,GOI/Cash,0.63,25,https://www.valueresearchonline.com/funds/2882/,INF174K01302,105968,3,3,2,3,11,3,3,3,1,10,2.5,2,1.5,1,7,1.5,1.5,3,2,2,33,Low Risk,Good
LIC MF Arbitrage Reg,hybrid,Arbitrage,Regular,5.68,6.55,5.66,Hybrid: Arbitrage,5.67,6.67,5.75,,,0.95,0.41,6.25,,,GOI/Cash,,25,https://www.valueresearchonline.com/funds/38699/,INF767K01PL9,145890,1,1,1,3,6,3,3,3,1,10,1.5,1,1,1,4.5,1.5,1.5,3,1.5,1.5,25,Moderate Risk,Average
Mahindra Manulife Arbitrage Reg,hybrid,Arbitrage,Regular,5.2,5.67,4.83,Hybrid: Arbitrage,5.67,6.67,5.75,,,-1.21,0.42,5.36,5.33,0,GOI/Cash,0,24,https://www.valueresearchonline.com/funds/41082/,INF174V01978,148467,3,3,1,3,10,3,1,1,1,6,1,1,1,1,4,1.5,1.5,3,1.5,1.5,24.5,Moderate Risk,Average
Mirae Asset Arbitrage Reg,hybrid,Arbitrage,Regular,5.62,6.71,5.8,Hybrid: Arbitrage,5.67,6.67,5.75,,,1.11,0.49,6.41,5.34,0.01,GOI/Cash,0.01,25,https://www.valueresearchonline.com/funds/41012/,INF769K01FP7,148400,3,3,1,3,10,3,3,3,1,10,2.5,2.5,2.5,1,8.5,1.5,1.5,3,2,2,33.5,Low Risk,Good
Motilal Oswal Arbitrage Reg,hybrid,Arbitrage,Regular,6.09,,,Hybrid: Arbitrage,5.67,,,,,,,,6.06,0.22,GOI/Cash,0.22,25,https://www.valueresearchonline.com/funds/44837/,INF247L01EG4,153188,3,3,2,3,11,1,1,1,1,4,2.5,2,1.5,2.5,8.5,1.5,1.5,3,2,2,28.5,Low Risk,Good
NJ Arbitrage Reg,hybrid,Arbitrage,Regular,5.34,6.24,,Hybrid: Arbitrage,5.67,6.67,,,,0.19,0.49,5.96,5.64,0.37,GOI/Cash,0.37,25,https://www.valueresearchonline.com/funds/42434/,INF0J8L01057,150366,3,3,1,3,10,3,3,3,1,10,1.5,1.5,1.5,1,5.5,2,2,4,1.5,1.5,31,Low Risk,Good
Nippon India Arbitrage Reg,hybrid,Arbitrage,Regular,5.74,6.75,5.88,Hybrid: Arbitrage,5.67,6.67,5.75,,,1.18,0.47,6.42,,,GOI/Cash,,25,https://www.valueresearchonline.com/funds/11625/,INF204KC1FP1,153692,1,1,1,3,6,3,3,3,1,10,2.5,2,2,1,7.5,1.5,1.5,3,2,2,28.5,Low Risk,Good
Old Bridge Arbitrage Reg,hybrid,Arbitrage,Regular,,,,Hybrid: Arbitrage,,,,,,,,,,,GOI/Cash,,25,https://www.valueresearchonline.com/funds/45601/,INF0S5R01091,153977,1,1,1,3,6,1,1,1,1,4,2,2,2,1,7,1.5,1.5,3,2,2,22,Moderate Risk,Average
PGIM India Arbitrage Reg,hybrid,Arbitrage,Regular,5.41,6.46,5.57,Hybrid: Arbitrage,5.67,6.67,5.75,,0.51,0.63,0.47,6.16,,,GOI/Cash,,21,https://www.valueresearchonline.com/funds/27870/,INF223J019N4,138876,1,1,1,3,6,3,3,2,1,9,1,1,1,1,4,1.5,1.5,3,1.5,1.5,23.5,Moderate Risk,Average
Parag Parikh Arbitrage Reg,hybrid,Arbitrage,Regular,5.87,,,Hybrid: Arbitrage,5.67,,,,,,,,6.91,0.25,GOI/Cash,0.25,25,https://www.valueresearchonline.com/funds/43815/,INF879O01217,152110,3,3,2,3,11,1,1,1,1,4,2.5,2,2,1,7.5,1.5,2,3.5,2,2,28,Low Risk,Good
Quant Arbitrage Reg,hybrid,Arbitrage,Regular,6.69,,,Hybrid: Arbitrage,5.67,,,,,,,,,,GOI/Cash,,25,https://www.valueresearchonline.com/funds/45073/,INF966L01DZ1,153428,1,1,1,3,6,1,1,1,1,4,1.5,1.5,1.5,2.5,7,2,1.5,3.5,1.5,1.5,22,Moderate Risk,Average
SBI Arbitrage Opportunities Reg,hybrid,Arbitrage,Regular,5.83,6.91,6.17,Hybrid: Arbitrage,5.67,6.67,5.75,,0.63,1.52,0.47,6.58,7.12,0.38,GOI/Cash,0.42,25,https://www.valueresearchonline.com/funds/3687/,INF200K01156,104457,3,3,2,3,11,3,3,3,1,10,2.5,2,2,1,7.5,1.5,1.5,3,2,2,33.5,Low Risk,Good
Samco Arbitrage Reg,hybrid,Arbitrage,Regular,3.7,,,Hybrid: Arbitrage,5.67,,,,,,,,,,Cash,,18,https://www.valueresearchonline.com/funds/44722/,INF0K1H01222,153091,1,1,1,3,6,1,1,1,1,4,1,1,1,1,4,1.5,1.5,3,1,1,18,Moderately High Risk,Average
Sundaram Arbitrage Reg,hybrid,Arbitrage,Regular,5.77,6.6,5.53,Hybrid: Arbitrage,5.67,6.67,5.75,,,1.02,0.39,6.26,5.02,0.33,GOI/Cash,0.34,25,https://www.valueresearchonline.com/funds/32285/,,147922,3,3,1,3,10,3,3,3,1,10,1.5,1.5,1.5,2.5,7,2,2,4,1.5,1.5,32.5,Low Risk,Good
TRUSTMF Arbitrage Reg,hybrid,Arbitrage,Regular,,,,Hybrid: Arbitrage,,,,,,,,,,,GOI/Cash,,25,https://www.valueresearchonline.com/funds/45454/,INF0GCD01867,153805,1,1,1,3,6,1,1,1,1,4,1.5,1.5,1.5,1,5.5,1.5,2,3.5,1.5,1.5,20.5,Moderate Risk,Average
Tata Arbitrage Reg,hybrid,Arbitrage,Regular,5.8,6.82,5.88,Hybrid: Arbitrage,5.67,6.67,5.75,,,1.35,0.47,6.5,7.82,0.57,GOI/Cash,0.58,25,https://www.valueresearchonline.com/funds/38500/,INF277K015Q7,145723,3,3,2,3,11,3,3,3,1,10,2.5,2,2,1,7.5,1.5,1.5,3,2,2,33.5,Low Risk,Good
The Wealth Company Arbtg Reg,hybrid,Arbitrage,Regular,,,,Hybrid: Arbitrage,,,,,,,,,,,GOI/Cash,,25,https://www.valueresearchonline.com/funds/45513/,INF2F0001305,153892,1,1,1,3,6,1,1,1,1,4,2,2,2,1,7,1.5,1.5,3,1.5,1.5,21.5,Moderate Risk,Average
UTI Arbitrage Reg,hybrid,Arbitrage,Regular,5.87,6.96,5.99,Hybrid: Arbitrage,5.67,6.67,5.75,,0.5,1.58,0.48,6.63,7.6,0.6,GOI/Cash,0.6,25,https://www.valueresearchonline.com/funds/3464/,INF789FB1RJ0,104075,3,3,1,3,10,3,3,3,1,10,2.5,2,2,1,7.5,1.5,1.5,3,2,2,32.5,Low Risk,Good
Union Arbitrage Reg,hybrid,Arbitrage,Regular,5.58,6.71,5.75,Hybrid: Arbitrage,5.67,6.67,5.75,,,1.03,0.5,6.39,6.62,0.49,GOI/Cash,0.49,25,https://www.valueresearchonline.com/funds/38969/,INF582M01EW9,146294,3,3,1,3,10,3,3,3,1,10,2,2,2,1,7,1.5,1.5,3,2,2,32,Low Risk,Good
WhiteOak Capital Arbitrage Reg,hybrid,Arbitrage,Regular,6.04,,,Hybrid: Arbitrage,5.67,,,,,,,,6.23,0.29,GOI/Cash,0.29,25,https://www.valueresearchonline.com/funds/44528/,INF03VN01928,152850,3,3,1,3,10,1,1,1,1,4,2.5,2,2,2.5,9,1.5,1.5,3,2,2,28,Low Risk,Good
360 ONE Balanced Hybrid Dir,hybrid,Balanced Hybrid,Direct,5.37,,,Hybrid: Balanced Hybrid,2.38,,,,,,,,7.73,2.76,AAA,3.33,25,https://www.valueresearchonline.com/funds/43766/,INF579M01AY9,152076,2,2,2,3,9,1,1,1,1,4,1.5,2,2.5,2,8,1.5,1.5,3,1.5,1.5,25.5,Moderate Risk,Average
Franklin India Retirement Dir,hybrid,Balanced Hybrid,Direct,0.48,9.12,7.93,Hybrid: Balanced Hybrid,2.38,9.06,8.7,,,0.5,6.04,8.86,8,2.07,AAA,2.51,25,https://www.valueresearchonline.com/funds/16753/,INF090I01JZ3,118548,2,2,2,3,9,1,1,1,1,4,1.5,1.5,1.5,2.5,7,1.5,1.5,3,1.5,1.5,24.5,Moderate Risk,Average
UTI Children's Hybrid Dir,hybrid,Balanced Hybrid,Direct,-0.15,7.63,7.85,Hybrid: Balanced Hybrid,2.38,9.06,8.7,,,0.23,6.8,7.41,7.35,5.18,AAA,8.29,25,https://www.valueresearchonline.com/funds/15865/,INF789F1AZR8,120771,1,1,2,3,7,1,1,1,1,4,2,2,2,2.5,8.5,1.5,1.5,3,1.5,1.5,24,Moderate Risk,Average
UTI Retirement Dir,hybrid,Balanced Hybrid,Direct,1.87,10.43,10.31,Hybrid: Balanced Hybrid,2.38,9.06,8.7,,0.98,0.62,6.71,10,7.26,5.16,AAA,8.18,25,https://www.valueresearchonline.com/funds/15840/,INF789F1AA64,120766,1,1,2,3,7,2,2,2,2,8,2,2,2,2.5,8.5,2,1.5,3.5,1.5,1.5,28.5,Low Risk,Good
WhiteOak Capital Balanced Hybrid Dir,hybrid,Balanced Hybrid,Direct,4.34,,,Hybrid: Balanced Hybrid,2.38,,,,,,,,7.05,2.18,AAA,2.6,25,https://www.valueresearchonline.com/funds/43827/,INF03VN01829,152132,2,2,2,3,9,1,1,1,1,4,2.5,2.5,2.5,2,9.5,1.5,1.5,3,1.5,1.5,27,Low Risk,Good
360 ONE Balanced Hybrid Reg,hybrid,Balanced Hybrid,Regular,3.79,,,Hybrid: Balanced Hybrid,1.45,,,,,,,,7.73,2.76,AAA,3.33,25,https://www.valueresearchonline.com/funds/43764/,INF579M01AV5,152075,2,2,2,3,9,1,1,1,1,4,1.5,2,2.5,2,8,1.5,1.5,3,1.5,1.5,25.5,Moderate Risk,Average
Franklin India Retirement Reg,hybrid,Balanced Hybrid,Regular,-0.29,8.29,7.1,Hybrid: Balanced Hybrid,1.45,8.49,8.11,,,0.37,6.03,8.08,8,2.07,AAA,2.51,25,https://www.valueresearchonline.com/funds/392/,INF663L01Y46,152538,2,2,2,3,9,1,1,1,1,4,1.5,1.5,1.5,2.5,7,1.5,1.5,3,1.5,1.5,24.5,Moderate Risk,Average
UTI Children's Hybrid Reg,hybrid,Balanced Hybrid,Regular,-0.31,7.42,7.64,Hybrid: Balanced Hybrid,1.45,8.49,8.11,,,0.2,6.8,7.22,7.35,5.18,AAA,8.29,25,https://www.valueresearchonline.com/funds/265/,INF789F1AZP2,100678,1,1,2,3,7,1,1,1,1,4,2,2,2,2.5,8.5,1.5,1.5,3,1.5,1.5,24,Moderate Risk,Average
UTI Retirement Reg,hybrid,Balanced Hybrid,Regular,1.3,9.76,9.6,Hybrid: Balanced Hybrid,1.45,8.49,8.11,,0.98,0.52,6.7,9.38,7.26,5.16,AAA,8.18,25,https://www.valueresearchonline.com/funds/281/,INF789F1AA56,100682,1,1,2,3,7,2,2,2,2,8,2,2,2,2.5,8.5,2,1.5,3.5,1.5,1.5,28.5,Low Risk,Good
WhiteOak Capital Balanced Hybrid Reg,hybrid,Balanced Hybrid,Regular,2.76,,,Hybrid: Balanced Hybrid,1.45,,,,,,,,7.05,2.18,AAA,2.6,25,https://www.valueresearchonline.com/funds/43826/,INF03VN01811,152133,2,2,2,3,9,1,1,1,1,4,2.5,2.5,2.5,2,9.5,1.5,1.5,3,1.5,1.5,27,Low Risk,Good
ABSL Conservative Hybrid Active FoF Dir*,hybrid,Conservative Hybrid,Direct,3.97,10.54,9.38,Hybrid: Conservative Hybrid,3.68,8.73,8.28,,,0.82,5.12,10.05,,,AAA,,6,https://www.valueresearchonline.com/funds/16925/,INF084M01EQ8,132183,1,1,1,3,6,1,1,1,1,4,1,1,1,1,4,1.5,1.5,3,1,1,18,Moderately High Risk,Average
ABSL Regular Savings Dir,hybrid,Conservative Hybrid,Direct,5.58,9.3,8.91,Hybrid: Conservative Hybrid,3.68,8.73,8.28,,,0.82,3.65,8.85,8.32,3.44,AAA,5.08,25,https://www.valueresearchonline.com/funds/15919/,INF209K01XH4,120705,2,2,2,3,9,3,2,2,2,9,1,2.5,1,1,5.5,1.5,1.5,3,1.5,1.5,28,Low Risk,Good
ABSL Retirement 50s Dir,hybrid,Conservative Hybrid,Direct,5.69,9.18,7.23,Hybrid: Conservative Hybrid,3.68,8.73,8.28,,,0.68,4.29,8.8,6.33,2.59,GOI/Cash,3.35,25,https://www.valueresearchonline.com/funds/39189/,INF209KB1J48,146940,2,2,1,3,8,2,2,2,2,8,1,1,1,1,4,1.5,1.5,3,1.5,1.5,24.5,Moderate Risk,Average
Axis Conservative Hybrid Dir,hybrid,Conservative Hybrid,Direct,2.44,7.29,6.98,Hybrid: Conservative Hybrid,3.68,8.73,8.28,,1.19,0.26,4.18,6.95,7.46,4.56,AAA,6.3,25,https://www.valueresearchonline.com/funds/17334/,INF846K01EA8,120480,2,2,2,3,9,1,1,1,1,4,1,1.5,1,1,4.5,1.5,1.5,3,1.5,1.5,22,Moderate Risk,Average
Axis Retirement-Conservative Plan Dir,hybrid,Conservative Hybrid,Direct,1.07,8.85,7.36,Hybrid: Conservative Hybrid,3.68,8.73,8.28,,,0.39,6.81,8.5,7.3,8.37,GOI/Cash,16.69,25,https://www.valueresearchonline.com/funds/40437/,INF846K01T69,147830,1,1,2,3,7,2,1,1,2,6,1,1,1,1,4,1.5,1.5,3,1.5,1.5,21.5,Moderate Risk,Average
