Stock_Name,Symbol,ISIN,BSE_Code,Sector,Industry,Market_Cap(crores),Market_Cap_Category,Star_Rating,Quality_Score,Growth_Score,Valuation_Score,Momentum_Score,ROE,ROCE,ROA,Operating_Margin,Net_Margin,Revenue_Growth_1Y,Revenue_Growth_3Y,Revenue_Growth_5Y,Profit_Growth_1Y,Profit_Growth_3Y,Profit_Growth_5Y,EPS_Growth,PE,Industry_PE,PB,PEG,Dividend_Yield,Debt_Equity,Piotroski_Score,Return_1M,Return_6M,Return_1Y,Return_3Y,Return_5Y,Beta,Volatility,Promoter_Holding,FII_Holding,DII_Holding,VRO_URL,Revenue_Score,Profit_Score,Fund_Quality_Score,Profitability_Score,Financial_Strength_Score,Fund_Valuation_Score,Fundamental_Available_Max,Fundamental_Raw_Score,Fundamental_Data_Available,Fundamental_Score,VR_Available_Weight,VR_Raw_Weighted_Score,VR_Score,VR_Data_Available,Final_Stock_Score,Final_Rating,Confidence_Level
Tata Consultancy Services Limited,TCS,INE467B01029,532540,Technology,Information Technology Services,758206,Large Cap,4,10,6,8,1,49.1,66.2,29.6,24.8,18.52,4.6,5.8,10.2,8.4,7.7,9.6,1.4,15.4,29.37,7.1,11,5.2,0,5,-9.61,-12.68,-38.22,-13.32,-9.09,0.846,25.95,71.77,9.66,7.64,https://www.valueresearchonline.com/stocks/44811/tata-consultancy-services-ltd/,15,10,25,20,15,15,115,100,High,86.96,1,74,74,High,82.42,Excellent,High
Vision Infra Equipment Solutions Limited,VIESL,INE0TR001017,,Industrials,Construction Equipment Rental,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,None,0,0,0,0,None,0,Insufficient Data,Insufficient
Pattech Fitwell Tube Components Limited,PATTECH,INE0NZW01014,,Industrials,Industrial Components,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,None,0,0,0,0,None,0,Insufficient Data,Insufficient
Transwarranty Finance Limited,TFL,INE804H01012,532812,Financial Services,Mortgage Finance,67,Small Cap,,,,,,-17.7,-1.6,,,-28.57,,,,,,,,,20.32,2.4,,0,0,1,-8.61,-24.4,-27.8,10.57,24.43,1.055,58.06,,,,https://www.valueresearchonline.com/stocks/44914/transwarranty-finance-ltd/,,,5,5,15,11,75,36,Medium,48,0,0,0,None,48,Average,Medium
Sanathan Textiles Limited,SANATHAN,INE0JPD01013,544314,Consumer Cyclical,Textile Manufacturing,3758,Small Cap,,4,5,7,6,4.2,6.71,1.9,7,2.02,27.1,-2,7.2,-51.8,-21.1,30.5,-55.7,48.6,24.65,2,,0,0.7,5,9.47,4.04,-0.67,,,0.6,30.54,78.58,1.58,12.31,https://www.valueresearchonline.com/stocks/355658/sanathan-textiles-ltd/,10,20,5,10,11,7,115,63,High,54.78,0.6,32,53.33,Medium,54.27,Average,High
Steel Authority of India Limited,SAIL,INE114A01011,500113,Basic Materials,Steel,70240,Mid Cap,4,2,7,6,9,6.43,7.79,2.2,11,3.04,8.1,2,9.9,752.5,26.5,-0.8,42.2,18.3,22.37,1.2,0.43,0.94,0.1,5,-15.12,14.76,30.63,26.49,6.44,1.062,34.72,65,5.01,18.4,https://www.valueresearchonline.com/stocks/44600/steel-authority-of-india-ltd/,15,5,5,15,15,15,115,70,High,60.87,1,64.5,64.5,High,62.14,Good,High
Hindustan Aeronautics Limited,HAL,INE066F01020,541154,Industrials,Aerospace & Defense,292194,Large Cap,4,10,7,4,4,26.1,33.9,7.6,25.4,27.55,6.8,7.1,7.7,9,17,23,9,32.1,126.55,7.1,3.57,0.8,0,5,0.01,1.35,-10.6,33.89,53.68,1.036,27.11,71.64,10.2,4.69,https://www.valueresearchonline.com/stocks/42420/hindustan-aeronautics-ltd/,10,20,25,20,15,11,115,101,High,87.83,1,72.5,72.5,High,82.46,Excellent,High
Southern Petrochemicals Industries Corporation  Limited,SPIC,INE147A01011,590030,Basic Materials,Agricultural Inputs,1407,Small Cap,,5,5,7,5,13.7,16.8,7.4,8.7,7.14,-4.2,1.5,14.1,35.8,-11.1,25.2,35.8,6.7,9.98,1,0.19,2.9,0.1,4,-6.96,-17.54,-20.78,1.53,8.12,1.818,44.58,43.26,5.08,0.13,https://www.valueresearchonline.com/stocks/44538/southern-petrochemical-industries-corporation-ltd/,20,20,18,10,15,15,115,98,High,85.22,0.6,33,55,Medium,74.64,Good,High
Hardwyn India Limited,HARDWYN,INE626Z01029,541276,Industrials,Building Products & Equipment,1209,Small Cap,4,4,5,5,10,2.9,4.3,2.8,9.7,6.5,13.1,8.6,65.1,18.3,12.1,154.9,18.4,91.5,17.53,3,4.97,0,0,5,-3.66,25.66,74.77,-6.68,,0.546,43.19,43.77,0.64,0.46,https://www.valueresearchonline.com/stocks/213879/hardwyn-india-ltd/,20,20,5,10,15,3,115,73,High,63.48,1,65,65,High,64.01,Good,High
Sammaan Capital Limited,SAMMAANCAP,INE148I01020,535789,Financial Services,Mortgage Finance,19733,Small Cap,,9,2,7,8,-8.8,3.6,,,-87.5,,,,,,,,,14.08,1,,0,0,1,5.17,18.86,36.2,17.86,-6.35,1.025,40.87,,,,https://www.valueresearchonline.com/stocks/45360/sammaan-capital-ltd/,,,5,5,15,15,75,40,Medium,53.33,0.6,39.5,65.83,Medium,57.71,Average,High
Halder Venture Limited,HALDER,INE115S01010,539854,Consumer Defensive,Farm Products,292,Small Cap,3,2,6,6,8,14.7,16.1,5.3,3.4,4.49,-23.5,-1.7,24.1,37.8,-2.2,35.4,11.8,10.2,14.85,1.6,0.86,0,0.3,4,4.93,-14.75,,,,0.035,40.76,73.69,0,0,https://www.valueresearchonline.com/stocks/211749/halder-venture-ltd/,20,20,12,5,15,15,115,87,High,75.65,1,54,54,High,68.07,Good,High
Saatvik Green Energy Limited,SAATVIKGL,INE13B501022,544526,Technology,Solar,6052,Small Cap,,4,8,7,10,93.9,55.2,23.2,10.6,7.94,110.7,60.2,,67.6,197.5,,47,16.9,39.57,4.4,0.36,0,0.2,5,9.96,11.65,,,,1.005,44.64,75.99,0.02,0.43,https://www.valueresearchonline.com/stocks/369986/saatvik-green-energy-ltd/,,,25,5,15,15,75,60,Medium,80,0.6,40.5,67.5,Medium,75.63,Good,High
Sonata Software Limited,SONATSOFTW,INE269A01021,532221,Technology,Information Technology Services,7971,Small Cap,4,7,6,8,3,27.6,30.2,9.4,6,4.34,5.4,12.8,20.4,20.5,4.2,16,9.5,17.2,32.09,4.2,1.81,2.8,0.1,5,6.1,-23.81,-27.77,-16.48,1.2,1.501,44.71,28.17,8.74,0.72,https://www.valueresearchonline.com/stocks/44528/sonata-software-ltd/,20,20,25,5,15,15,115,100,High,86.96,1,70,70,High,81.02,Excellent,High
AIA Engineering Limited,AIAENG,INE212H01026,532683,Industrials,Specialty Industrial Machinery,45137,Mid Cap,,7,7,4,9,15.6,19.2,15.3,25.9,28.73,3.1,-3.4,8.9,20,6.4,17.6,20.1,35.5,53.34,5.6,1.77,0.3,0,5,20.93,19.8,47.37,13.41,18.46,0.721,29.52,58.5,16.79,1.88,https://www.valueresearchonline.com/stocks/40937/aia-engineering-ltd/,10,20,25,20,15,11,115,101,High,87.83,0.6,39.5,65.83,Medium,80.13,Excellent,High
Freshara Agro Exports Limited,FRESHARA,INE0SFW01015,,Consumer Defensive,Food Products & Exports,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,None,0,0,0,0,None,0,Insufficient Data,Insufficient
TCPL Packaging Limited,TCPLPACK,INE822C01015,523301,Consumer Cyclical,Packaging & Containers,2713,Small Cap,2,3,6,5,4,24.5,20.7,5.9,11.6,5.41,2.3,6.6,13.9,-24.7,0.8,25.8,-31.2,27.7,27.74,3.8,,0.8,0.3,5,15.82,-4.18,-20.77,28.3,43.92,1.186,34.77,55.74,1.04,5.68,https://www.valueresearchonline.com/stocks/44829/tcpl-packaging-ltd/,15,20,25,15,15,15,115,105,High,91.3,1,42.5,42.5,High,74.22,Good,High
Yash Optics & Lens Limited,YASHOPTICS,INE0TO601017,,Healthcare,Medical Devices & Optics,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,None,0,0,0,0,None,0,Insufficient Data,Insufficient
Deccan Transcon Leasing Limited,DECCANTRAN,INE0S7C01019,,Industrials,Logistics & Leasing,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,None,0,0,0,0,None,0,Insufficient Data,Insufficient
Vishwas Agri Seeds Limited,VISHWAS,INE0S2E01016,,Consumer Defensive,Agricultural Seeds,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,None,0,0,0,0,None,0,Insufficient Data,Insufficient
Gujarat Themis Biosyn Limited,GUJTHEM,INE942C01045,506879,Healthcare,Drug Manufacturers—Specialty & Generic,4277,Small Cap,3,8,6,2,8,21.7,27.5,11.6,37.8,28.31,10,3.8,12.9,-4.3,-7,9.1,-4.3,91.6,50.65,14.9,,0.2,0.4,5,6.73,-11.53,17.83,,,1.891,49.91,70.86,1.8,0.02,https://www.valueresearchonline.com/stocks/42324/gujarat-themis-biosyn-ltd/,20,10,25,20,15,3,115,93,High,80.87,1,60,60,High,73.57,Good,High
Agi Infra Limited,AGIIL,INE976R01033,539042,Real Estate,Real Estate—Development,4644,Small Cap,4,9,4,3,10,25.7,22,6.8,28.7,26.91,8.5,13.5,26.2,42.3,25.4,41.7,41.4,49,33.89,10,1.18,0.1,0.3,5,-3.35,30.24,86.29,,,1.117,53.73,54.04,3.98,0.01,https://www.valueresearchonline.com/stocks/92020/agi-infra-ltd/,20,20,25,20,15,7,115,107,High,93.04,1,70.5,70.5,High,85.15,Excellent,High
Boss Packaging Solutions Limited,BOSS,INE0QNI01012,,Basic Materials,Packaging Products,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,None,0,0,0,0,None,0,Insufficient Data,Insufficient
Mos Utility Limited,MOS,INE0N7S01028,,Technology,Digital Services & Fintech,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,None,0,0,0,0,None,0,Insufficient Data,Insufficient
G-TEC JAINX EDUCATION LIMITED,GTECJAINX,INE586X01012,,Consumer Defensive,Education & Training Services,,Small Cap,,,,,,,,,,,,,,,,,,,,,,,,0,,16.03,,,,0.373,70.15,,,,,,,,,,,0,0,None,0,0,0,0,None,0,Insufficient Data,Insufficient
SBI Cards and Payment Services Limited,SBICARD,INE018E01016,543066,Financial Services,Credit Services,533,Mid Cap,3,5,4,5,10,1.8,5,1.1,-8.7,-1.69,74,10.9,-13.9,-65,-24.2,21.1,-186.1,,36.93,0.4,,0.4,0.1,4,2.03,9.46,-0.34,12.44,10.99,1.189,25.77,86.55,0,0,https://www.valueresearchonline.com/stocks/44085/sbi-cards-and-payment-services-ltd/,5,20,5,5,15,15,115,65,High,56.52,1,57.5,57.5,High,56.86,Average,High
Sreeleathers Limited,SREEL,INE099F01013,535601,Consumer Cyclical,Footwear & Accessories,504,Small Cap,5,9,6,7,4,5.1,7.4,5.7,12.9,11.69,12.8,7.5,24.4,27.5,4,20.9,27.3,17.5,32.98,1,0.64,0.5,0,5,16.44,-1.76,-9.13,4.08,0.88,0.781,24.22,75,6.9,0,https://www.valueresearchonline.com/stocks/45796/sreeleathers-ltd/,20,20,5,15,15,15,115,90,High,78.26,1,81.5,81.5,High,79.39,Good,High
Saurashtra Cement Limited,SAURASHCEM,INE626A01014,502175,Basic Materials,Building Materials,648,Small Cap,,,,,,0.7,2.6,0.9,0.5,0.84,8.4,0.4,19.9,1628.9,45.8,-19.7,107.6,44.9,30.44,0.7,0.42,0,0,5,-4.79,-30.94,-33.65,,,1.632,41.45,32.7,0.16,0.12,https://www.valueresearchonline.com/stocks/44276/saurashtra-cement-ltd/,20,5,5,5,15,7,115,57,High,49.57,0,0,0,None,49.57,Average,Medium
Winsol Engineers Limited,WINSOL,INE0S3D01016,,Industrials,Engineering Services,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,None,0,0,0,0,None,0,Insufficient Data,Insufficient
Thangamayil Jewellery Limited,THANGAMAYL,INE085J01014,533158,Consumer Cyclical,Luxury Goods,17406,Small Cap,4,6,8,2,10,14.9,14.4,11,6.3,4.13,73.2,39.2,36.1,197.7,64.3,32.5,176.5,49.5,21.84,12.3,0.28,0.3,0,5,46.55,94.55,199.59,97.25,70.86,1.019,53.82,61.61,4.37,0.69,https://www.valueresearchonline.com/stocks/45337/thangamayil-jewellery-ltd/,20,20,12,10,15,7,115,84,High,73.04,1,69,69,High,71.63,Good,High
State Bank of India,SBIN,INE062A01020,500112,Financial Services,Banks—Regional,964738,Large Cap,5,6,8,7,8,16.7,12.2,1.1,,16.54,,,,,,,4.7,11.6,10.09,1.7,2.47,1.7,1.4,2,10.13,1.42,31.43,23.53,20.17,1.057,22.45,55.52,11.41,12.95,https://www.valueresearchonline.com/stocks/44595/state-bank-of-india/,,,18,15,15,15,75,63,Medium,84,1,82.5,82.5,High,83.48,Excellent,High
Archies Limited,ARCHIES,INE731A01020,532212,Consumer Cyclical,Specialty Retail,49,Small Cap,,,,,,-1.3,1.5,-2.2,-12.5,-7.14,-19.5,-13.3,0.3,-193.8,-221.3,-28.1,-193.8,,,0.6,,0,0,1,-2.12,9.59,-31.79,-18.35,-3.07,1.343,40.3,61.47,0,0.22,https://www.valueresearchonline.com/stocks/41085/archies-ltd/,5,5,5,5,15,,100,35,High,35,0,0,0,None,35,Poor,Medium
Sandhar Technologies Limited,SANDHAR,INE278H01035,541163,Consumer Cyclical,Auto Parts,4116,Small Cap,3,3,7,4,9,13.1,13.4,6.1,5,4.1,24.9,18.6,21.1,43.7,39.7,28.3,40.3,20.7,32.28,3.1,0.51,0.6,0.2,5,9.87,49.51,27.03,29.52,23.14,1.349,43.73,70.38,0.77,-0.01,https://www.valueresearchonline.com/stocks/211825/sandhar-technologies-ltd/,20,20,12,10,15,15,115,92,High,80,1,55.5,55.5,High,71.43,Good,High
Gujarat Apollo Industries Limited,GUJAPOLLO,INE826C01016,522217,Industrials,Specialty Industrial Machinery,465,Small Cap,2,1,4,5,7,0.3,1.9,0.9,-30.9,11.32,27.5,-9.7,-0.8,154,-19.6,-33.4,144.4,78.1,40.86,0.9,0.54,0,0,4,3.35,-14.31,13.86,27.04,28.83,0.592,41.18,47.3,0.18,0,https://www.valueresearchonline.com/stocks/42283/gujarat-apollo-industries-ltd/,5,5,5,5,15,3,115,38,High,33.04,1,38.5,38.5,High,34.95,Poor,High
Indian Emulsifiers Limited,IEML,INE0RRU01016,,Basic Materials,Specialty Chemicals,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,None,0,0,0,0,None,0,Insufficient Data,Insufficient
Suratwwala Business Group Limited,SBGLP,INE05ST01028,543218,Real Estate,Real Estate—Development,442,Small Cap,,1,6,5,2,17.4,13.1,16.9,35.7,26.57,177,13,24.6,184.1,12.9,88.2,184,11.6,33.89,4,0.06,0.4,0.7,5,-1.05,-28.28,-39.87,6.17,,0.902,45.98,73.39,0,0,https://www.valueresearchonline.com/stocks/272302/suratwwala-business-group-ltd/,20,20,12,20,11,15,115,98,High,85.22,0.6,20.5,34.17,Medium,67.35,Good,High
Thakkers Developers Limited,THAKDEV,INE403F01017,526654,Real Estate,Real Estate—Development,122,Small Cap,,,,,,4.4,5.5,2.3,5,14.29,9.7,-15.6,4.7,-21.1,-31.8,-14.7,-21.9,23.8,33.89,0.8,,0,0.1,5,-7.54,,,,,,59.07,71.31,0,0,https://www.valueresearchonline.com/stocks/44856/thakkers-developers-ltd/,5,5,5,10,15,15,115,55,High,47.83,0,0,0,None,47.83,Average,Medium
GP Petroleums Limited,GULFPETRO,INE586G01017,532543,Energy,Oil & Gas Refining & Marketing,202,Small Cap,,,,,,8.3,11.2,6.3,5.3,4.05,5.4,-6.7,1,9.8,4.7,10.3,0.6,7.6,5.2,,12.67,0,0,5,22.16,11.23,-12.18,-0.03,-8.89,1.135,34.97,,0.5,1.36,https://www.valueresearchonline.com/stocks/44195/gp-petroleums-ltd/,5,15,12,10,15,15,115,72,High,62.61,0,0,0,None,62.61,Good,Medium
Refractory Shapes Limited,REFRACTORY,INE0TNX01015,,Basic Materials,Refractory Materials,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,None,0,0,0,0,None,0,Insufficient Data,Insufficient
S.A.L. Steel Limited,SALSTEEL,INE658G01014,532604,Basic Materials,Steel,830,Small Cap,2,1,4,3,10,-16.5,4.9,-0.1,1.8,,-61.9,-25.9,-8.5,-15.2,-258.9,-204.2,78.5,,22.3,5.7,,0,2,1,,29.81,,,,0.601,53.41,70.98,0,0,https://www.valueresearchonline.com/stocks/44136/sal-steel-ltd/,5,5,5,5,7,,100,27,High,27,1,38.5,38.5,High,31.03,Poor,High
Afcons Infrastructure Limited,AFCONS,INE101I01011,544280,Industrials,Engineering & Construction,11747,Small Cap,1,1,2,5,2,11,19.8,1.4,6.4,2.11,-4.8,4.4,4.8,-35.9,10.8,14.5,-50.2,46.7,22.69,2.2,,0.6,0.2,4,6.36,-19.61,-27.14,,,0.764,31.1,50.17,12.19,2.35,https://www.valueresearchonline.com/stocks/40921/afcons-infrastructure-ltd/,5,15,25,10,15,7,115,77,High,66.96,1,22.5,22.5,High,51.4,Average,High
K2 Infragen Limited,K2INFRA,INE0DEZ01013,,Industrials,Infrastructure Development,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,None,0,0,0,0,None,0,Insufficient Data,Insufficient
The Investment Trust Of India Limited,THEINVEST,INE924D01017,530023,Financial Services,Capital Markets,523,Small Cap,2,1,6,6,3,6.7,9.9,1.4,16.7,10.53,-19.4,21,-2.4,-21.6,19.2,-2.5,-29.3,17.4,30.31,0.7,,0,0,4,5.5,-17.46,-0.4,11.02,10.19,1.072,46.29,72.12,6.55,0,https://www.valueresearchonline.com/stocks/42065/the-investment-trust-of-india-ltd/,5,5,5,10,15,15,115,55,High,47.83,1,39,39,High,44.74,Average,High
Asian Hotels (East) Limited,AHLEAST,INE926K01017,533227,Consumer Cyclical,Lodging,257,Small Cap,,,,,,7.4,11.8,-8.5,28.9,-45.53,10.1,14.4,11.3,-62.1,3.5,18.9,-309.7,,31.59,1.5,,0.7,1.4,3,-9.67,9.12,2.57,7.22,5.21,0.532,32.24,0.29,0,0.23,https://www.valueresearchonline.com/stocks/45415/asian-hotels-east-ltd/,15,20,12,20,7,,100,74,High,74,0,0,0,None,74,Good,Medium
Remus Pharmaceuticals Limited,REMUS,INE0O5T01011,,Healthcare,Pharmaceuticals,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,None,0,0,0,0,None,0,Insufficient Data,Insufficient
Tega Industries Limited,TEGA,INE011K01018,543413,Industrials,Specialty Industrial Machinery,12999,Small Cap,4,6,5,6,9,15.5,18.6,4.3,8,8.45,3.3,11.7,19.1,-28.7,-8.1,25,-32.3,91.1,53.34,3.8,,0.1,0,5,7.94,8.08,17.3,22.36,,0.919,32.87,67.5,2.14,3.95,https://www.valueresearchonline.com/stocks/289781/tega-industries-ltd/,20,20,25,10,15,3,115,93,High,80.87,1,69.5,69.5,High,76.89,Good,High
Naman Industries Proxima Limited,NAMAN,INE0RJM01010,,Industrials,Industrial Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,None,0,0,0,0,None,0,Insufficient Data,Insufficient
Spacenet Enterprises India Limited,SPCENET,INE970N01027,,Financial Services,Capital Markets,219,Small Cap,,,,,,11.6,10.3,7.5,6.8,8.21,24,10.4,,35.1,81.5,,34.1,13.6,42.12,1.2,0.4,0.3,0.1,5,0,-45.95,-44.92,-39.63,15.79,1.708,56.5,15.52,1.65,0,https://www.valueresearchonline.com/stocks/118361/spacenet-enterprises-india-ltd/,,,12,10,15,15,75,52,Medium,69.33,0,0,0,None,69.33,Good,Medium
Arihant Capital Markets Limited,ARIHANTCAP,INE420B01036,511605,Financial Services,Capital Markets,763,Small Cap,,4,5,5,5,16.8,22,3.3,30.6,15.05,-16.8,14.4,12.2,-43.5,3.1,-1.7,-47,24.2,25,1.7,,0.7,0,4,3.11,-17.86,-12.12,21.99,22.68,1.708,49.75,64.84,0.05,0.01,https://www.valueresearchonline.com/stocks/41092/arihant-capital-markets-ltd/,15,5,18,15,15,15,115,83,High,72.17,0.6,28,46.67,Medium,63.25,Good,High
Apex Frozen Foods Limited,APEX,INE346W01013,540692,Consumer Defensive,Farm Products,1275,Small Cap,,1,6,4,10,0.8,2.5,6.4,4.1,4.2,14.1,-4.2,2.6,852.7,1,-3.6,902.2,32.8,21.58,2.4,0.04,0.6,0,5,-9.17,34.26,77.74,23.88,7.85,2.089,63.99,72.62,6,0.66,https://www.valueresearchonline.com/stocks/172627/apex-frozen-foods-ltd/,5,5,5,5,15,11,115,46,High,40,0.6,27,45,Medium,41.75,Average,High
Namo eWaste Management Limited,NAMOEWASTE,INE08NZ01012,,Industrials,Waste Management & Recycling,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,None,0,0,0,0,None,0,Insufficient Data,Insufficient
Allcargo Global Limited,AGL,INE1YPB01014,544602,Industrials,Conglomerates,7,,,,,,,0.4,3.1,-2.7,-25.5,0,-80.5,-72.1,-40.1,73.3,-198.8,-269.2,73.3,,43.67,11.5,,0,0,2,16.57,,22.75,-25.29,,,,31.01,0,0,https://www.valueresearchonline.com/stocks/43613/virgo-global-ltd/,5,5,5,5,15,,100,35,High,35,0,0,0,None,35,Poor,Medium
Vasa Denticity Limited,DENTALKART,INE0N5801013,,Healthcare,Dental Products,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,None,0,0,0,0,None,0,Insufficient Data,Insufficient
Energy Mission Machineries (India) Limited,EMMIL,INE0S1L01013,,Industrials,Industrial Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,None,0,0,0,0,None,0,Insufficient Data,Insufficient
Aeroflex Neu Limited,AERONEU,INE035801013,543743,Consumer Cyclical,Packaging & Containers,237,Small Cap,,,,,,0.3,3.5,1.3,0.4,1.55,-0.1,10.6,21.4,2595.3,15.6,-4.9,731.2,140.8,21.65,2.3,0.19,0,0,4,-0.96,19.07,-23.93,-0.83,,0.75,54.18,60.46,4.12,0.39,https://www.valueresearchonline.com/stocks/313959/aeroflex-neu-ltd/,20,5,5,5,15,3,115,53,High,46.09,0,0,0,None,46.09,Average,Medium
Envirotech Systems Limited,ENVIRO,INE0SUH01015,,Industrials,Environmental Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,None,0,0,0,0,None,0,Insufficient Data,Insufficient
Arkade Developers Limited,ARKADE,INE0QRL01017,544261,Real Estate,Real Estate—Development,2284,Small Cap,3,5,6,6,1,26,30.7,0.4,21.9,0.61,19.5,44,,-8.8,45.6,,-96.7,424.6,33.89,2.6,,0,0.1,5,8.8,-8.06,-36.89,,,1.207,32.59,71.19,0.23,0.09,https://www.valueresearchonline.com/stocks/351228/arkade-developers-ltd/,,,25,20,15,3,75,63,Medium,84,1,53,53,High,73.15,Good,High
Safari Industries (India) Limited,SAFARI,INE429E01023,523025,Consumer Cyclical,Footwear & Accessories,7809,Small Cap,3,8,5,5,2,16.2,21.2,,,8.21,,,,,,,,46.6,191.48,7,,0.1,0,2,4.17,7.52,-26.02,2.94,37.64,0.808,35.66,,,,https://www.valueresearchonline.com/stocks/44193/safari-industries-india-ltd/,,,25,,15,7,55,47,Low,85.45,1,57,57,High,75.49,Good,High
Bikewo Green Tech Limited,BIKEWO,INE0SQH01013,,Consumer Cyclical,Electric Vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,None,0,0,0,0,None,0,Insufficient Data,Insufficient
Texmaco Infrastructure & Holdings Limited,TEXINFRA,INE435C01024,505400,Real Estate,Real Estate Services,1403,Small Cap,3,4,6,4,8,-0.6,0.5,0.7,-40.9,64.71,10,1.8,3.4,251.6,52.2,-0.3,251.6,128.4,128.39,1.3,0.51,0.1,0,3,12.41,16.24,9.11,23.76,10.01,0.356,25.08,66.28,1.51,0.01,https://www.valueresearchonline.com/stocks/44852/texmaco-infrastructure-holdings-ltd/,5,5,5,5,15,3,115,38,High,33.04,1,55,55,High,40.73,Average,High
Sakuma Exports Limited,SAKUMA,INE190H01024,532713,Consumer Defensive,Farm Products,282,Small Cap,,,,,,1.31,1.74,,0,0.59,,,,,,,,29.7,79.8,0.4,,0,0,2,9.2,-16.43,-37.91,-11.21,-1.2,1.385,51.27,46.29,0,,https://www.valueresearchonline.com/stocks/44207/sakuma-exports-ltd/,,,5,5,15,15,75,40,Medium,53.33,0,0,0,None,53.33,Average,Medium
Global Surfaces Limited,GSLSU,INE0JSX01015,543829,Basic Materials,Building Materials,198,Small Cap,,1,5,6,1,-10.8,-2.1,-5.8,-12.7,-12.88,12.3,9.4,4.9,-6.6,-207.9,-206.6,-6.6,,45.85,0.7,,0,0.2,2,-15.72,-59.79,-62.92,-38.35,,1.278,53.39,73.25,1.59,0,https://www.valueresearchonline.com/stocks/316766/global-surfaces-ltd/,5,5,5,5,15,,100,35,High,35,0.6,19.5,32.5,Medium,34.13,Poor,High
Alembic Pharmaceuticals Limited,APLLTD,INE901L01018,533573,Healthcare,Drug Manufacturers—Specialty & Generic,15165,Small Cap,3,7,5,5,3,11.6,13.5,8.1,10.9,9.19,10.1,9.1,6.4,31.3,30,-8.6,15.7,22.5,44.62,2.7,1.43,1.6,0,5,2.09,0.07,-18.52,8.49,-4.62,0.981,27.02,69.23,4.26,7.99,https://www.valueresearchonline.com/stocks/45646/alembic-pharmaceuticals-ltd/,10,5,12,10,15,15,115,67,High,58.26,1,56,56,High,57.47,Average,High
Radiowalla Network Limited,RADIOWALLA,INE430U01019,,Communication Services,Media & Broadcasting,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,None,0,0,0,0,None,0,Insufficient Data,Insufficient
Thacker & Company Limited,THACKER,INE077P01034,509945,Financial Services,Asset Management,125,Small Cap,,,,,,2.6,3.1,1.8,68.2,316.67,-7.8,-2.8,-4.8,-7.8,-2.8,-4.8,-8.6,6.6,39.68,0.8,,0,0,4,14.61,,,,,,95.85,68.89,0,7.65,https://www.valueresearchonline.com/stocks/44855/thacker-company-ltd/,5,5,5,20,15,15,115,65,High,56.52,0,0,0,None,56.52,Average,Medium
Shubhshree Biofuels Energy Limited,SHUBHSHREE,INE0UL701015,,Energy,Biofuels,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,None,0,0,0,0,None,0,Insufficient Data,Insufficient
Aatmaj Healthcare Limited,AATMAJ,INE0OB201016,,Healthcare,Hospital Services,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,None,0,0,0,0,None,0,Insufficient Data,Insufficient
Premier Roadlines Limited,PRLIND,INE0CFG01012,,Industrials,Logistics,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,None,0,0,0,0,None,0,Insufficient Data,Insufficient
