Stock_Name,Symbol,ISIN,BSE_Code,Sector,Industry,Market_Cap(crores),Market_Cap_Category,Star_Rating,Quality_Score,Growth_Score,Valuation_Score,Momentum_Score,ROE,ROCE,ROA,Operating_Margin,Net_Margin,Revenue_Growth_1Y,Revenue_Growth_3Y,Revenue_Growth_5Y,Profit_Growth_1Y,Profit_Growth_3Y,Profit_Growth_5Y,EPS_Growth,PE,Industry_PE,PB,PEG,Dividend_Yield,Debt_Equity,Piotroski_Score,Return_1M,Return_6M,Return_1Y,Return_3Y,Return_5Y,Beta,Volatility,Promoter_Holding,FII_Holding,DII_Holding,VRO_URL,Revenue_Score,Profit_Score,Fund_Quality_Score,Profitability_Score,Financial_Strength_Score,Fund_Valuation_Score,Fundamental_Available_Max,Fundamental_Raw_Score,Fundamental_Data_Available,Fundamental_Score,VR_Available_Weight,VR_Raw_Weighted_Score,VR_Score,VR_Data_Available,Final_Stock_Score,Final_Rating,Confidence_Level
Maral Overseas Limited,MARALOVER,INE882A01013,521018,Consumer Cyclical,Textile Manufacturing,226,Small Cap,,,,,,-20.1,2,0.5,1.6,0.31,-6.3,-1.5,9.2,115.8,30.8,-21.1,113.5,69.4,28.9,2,0.61,0,0.9,3,2.61,21.13,2.18,12.3,10.59,1.093,47.42,74.95,0.06,0.02,https://www.valueresearchonline.com/stocks/43217/maral-overseas-ltd/,10,5,5,5,11,3,115,39,High,33.91,0,0,0,None,33.91,Poor,Medium
DCM Nouvelle Limited,DCMNVL,INE08KP01019,542729,Consumer Cyclical,Textile Manufacturing,286,Small Cap,,,,,,1.9,5.9,0.2,2.5,0.39,-4.1,5.5,12.5,8.3,9.3,-7.6,-179.5,79.2,58.86,0.9,,0,0.2,4,-1.7,10.1,-14.69,-1.65,1.88,0.694,45.48,50.11,0.55,1.22,https://www.valueresearchonline.com/stocks/255212/dcm-nouvelle-ltd/,15,5,5,5,15,3,115,48,High,41.74,0,0,0,None,41.74,Average,Medium
HB Stockholdings Limited,HBSL,INE550B01022,532216,Financial Services,Capital Markets,38,Small Cap,,,,,,-12.5,-9.3,-10.9,-94.6,-91.67,-3,-0.7,-1.5,-9.1,-4.3,-3.6,10,,28.36,0.5,,0,0,1,5.5,-30.36,-0.4,11.02,10.19,1.015,45.62,53.22,0,0,https://www.valueresearchonline.com/stocks/42338/hb-stockholdings-ltd/,5,5,5,5,15,15,115,50,High,43.48,0,0,0,None,43.48,Average,Medium
Seya Industries Limited,SEYAIND,INE573R01012,524324,Basic Materials,Specialty Chemicals,35,Small Cap,,,,,,-0.8,-0.5,,,,,,,,,,,,38.43,0,,0,0.9,1,-15.61,-21.86,-45.48,-17.39,-27.73,0.053,41.29,,,,https://www.valueresearchonline.com/stocks/111767/seya-industries-ltd/,,,5,,11,,40,16,Low,40,0,0,0,None,40,Average,Medium
Swelect Energy Systems Limited,SWELECTES,INE409B01013,532051,Technology,Solar,932,Small Cap,3,1,8,5,8,1.7,7,3,15.6,8.37,5.7,28.6,21.1,348.1,23.3,10,338,16.9,38.17,1,0.05,0.6,0.4,5,3.35,3.64,13.86,27.04,28.83,1.003,47.69,56.37,0.23,0,https://www.valueresearchonline.com/stocks/43574/swelect-energy-systems-ltd/,20,15,5,10,15,15,115,80,High,69.57,1,53.5,53.5,High,63.95,Good,High
Manba Finance Limited,MANBA,INE939X01013,544262,Financial Services,Credit Services,663,Small Cap,5,9,6,7,6,13.3,13.2,2.6,64.5,13.72,30.9,32.9,16.3,23.3,57.2,15.7,20,14.6,32.08,1.6,0.73,0.2,0,5,24.61,-1.36,-5.14,,,0.856,28.66,74.98,0.87,0,https://www.valueresearchonline.com/stocks/351562/manba-finance-ltd/,20,20,12,10,15,15,115,92,High,80,1,83.5,83.5,High,81.23,Excellent,High
The Ruby Mills Limited,RUBYMILLS,INE301D01026,503169,Consumer Cyclical,Textile Manufacturing,1129,Small Cap,3,4,4,3,10,6.8,6.6,,,12.26,,,,,,,,25.9,28.9,,,0.7,0.5,2,45.88,66.01,41.17,15.91,22.86,1.121,49.08,,,,https://www.valueresearchonline.com/stocks/44123/the-ruby-mills-ltd/,,,5,,11,15,55,31,Low,56.36,1,52.5,52.5,High,55.01,Average,High
Healthcare Global Enterprises Limited,HCG,INE075I01017,539787,Healthcare,Medical Care Facilities,8980,Small Cap,,1,7,4,8,5.7,12.4,0.6,8.7,0.55,14.5,14.5,20.2,189.3,63.6,26.5,-69.5,652.6,49.78,6.7,,0,0.4,5,-8.24,-0.42,13.14,23.6,23.95,0.788,30.17,9.94,2.76,3.59,https://www.valueresearchonline.com/stocks/96645/healthcare-global-enterprises-ltd/,20,20,12,5,15,3,115,75,High,65.22,0.6,26.5,44.17,Medium,57.85,Average,High
Senores Pharmaceuticals Limited,SENORES,INE0RB801010,544319,Healthcare,Drug Manufacturers—General,5844,Small Cap,2,1,3,3,10,11.8,11.9,8.6,23.7,17.69,63.1,204,,97,289,,70.6,50.7,50.65,6.3,0.72,0,0.2,5,14.29,57.73,139.18,,,1.092,42.24,39.54,3.64,4.54,https://www.valueresearchonline.com/stocks/355672/senores-pharmaceuticals-ltd/,,,12,20,15,7,75,54,Medium,72,1,37,37,High,59.75,Average,High
Excelsoft Technologies Limited,EXCELSOFT,INE606N01019,544617,Technology,Software—Application,862,Small Cap,3,5,6,5,5,10.5,16.6,7.8,20.8,15.02,17.6,13.9,,172,22,,164.6,19.9,32.31,1.5,0.12,0,0.1,5,-23.9,2.94,,,,1.539,57.66,59.09,1.37,3.33,https://www.valueresearchonline.com/stocks/372642/excelsoft-technologies-ltd/,,,12,15,15,15,75,57,Medium,76,1,55.5,55.5,High,68.83,Good,High
AMD Industries Limited,AMDIND,INE005I01014,532828,Consumer Cyclical,Packaging & Containers,87,Small Cap,,,,,,0.6,4.7,-1.3,-0.1,-1.42,2.1,-6.9,18.9,-509.8,-159.7,-230.6,-509.8,,18.88,,,0,0.1,3,-0.59,-1.88,-8.31,-12.78,9.56,1.363,45.69,66.73,0,0,https://www.valueresearchonline.com/stocks/41007/amd-industries-ltd/,20,5,5,5,15,,100,50,High,50,0,0,0,None,50,Average,Medium
Rudra Global Infra Products Limited,RUDRA,INE027T01023,539226,Basic Materials,Steel,176,Small Cap,,,,,,9.6,12.2,3.6,5.7,2.25,11.1,11.3,21.2,18.7,-0.1,19.9,18.7,13,22.37,1.3,0.7,0,0.1,5,-10.54,-33.18,,,,1.196,54.94,72.88,0,0,https://www.valueresearchonline.com/stocks/92109/rudra-global-infra-products-ltd/,20,20,12,10,15,15,115,92,High,80,0,0,0,None,80,Excellent,Medium
Anant Raj Limited,ANANTRAJ,INE242C01024,515055,Real Estate,Real Estate—Development,18804,Small Cap,2,3,8,4,5,10.8,11.3,9.1,24.2,22.09,21.9,37.9,58.7,30.4,53.6,112.9,26.9,33.9,33.89,3.2,1.26,0.2,0.1,5,3.69,16.3,-3.2,46.84,55.41,1.717,45.92,57.41,10.88,1.6,https://www.valueresearchonline.com/stocks/41022/anant-raj-ltd/,20,20,12,20,15,11,115,98,High,85.22,1,45,45,High,71.14,Good,High
Bimetal Bearings Limited,BIMETAL,INE469A01019,505681,Consumer Cyclical,Auto Parts,243,Small Cap,,,,,,5.1,5.8,3.4,3.5,4.04,24.2,9,13.4,4.2,1.7,25.1,4.2,20.7,29.08,1.1,4.93,2.1,0,5,3.35,,13.86,27.04,28.83,,66.15,74.88,0,0,https://www.valueresearchonline.com/stocks/41389/bimetal-bearings-ltd/,15,20,5,5,15,15,115,75,High,65.22,0,0,0,None,65.22,Good,Medium
DCM Shriram International Limited,DCMSIL,INE0OU201013,544702,Industrials,Industrial Distribution,490,Small Cap,,2,3,3,7,-0.6,1.2,-0.1,-2.6,-0.19,-9.3,-6.9,-12.9,-351.1,-184.6,-214.7,83.9,,68.56,0.9,,0,0,1,2.61,36.75,2.18,12.3,10.59,1.079,79.1,72.99,0.17,0,https://www.valueresearchonline.com/stocks/43316/mirza-international-ltd/,5,5,5,5,15,,100,35,High,35,0.6,20,33.33,Medium,34.42,Poor,High
Dangee Dums Limited,DANGEE,INE688Y01022,,Consumer Cyclical,Restaurants,50,Small Cap,,,,,,-3.3,4.4,-3.6,0.7,-3.45,7.8,5,16.6,-167.4,-24.2,13.2,-167.8,,49.79,3.5,,0,0.2,3,-0.61,-7.91,-24.07,-37.24,-22.99,1.014,48.99,55.68,0,0,https://www.valueresearchonline.com/stocks/232954/dangee-dums-ltd/,20,15,5,5,15,,100,60,High,60,0,0,0,None,60,Good,Medium
Insecticides (India) Limited,INSECTICID,INE070I01018,532851,Basic Materials,Agricultural Inputs,1914,Small Cap,,3,5,6,4,13.5,17.5,7.1,9,6.5,7,5.9,8.5,-1.8,30.2,6.6,-0.5,13.7,25.94,1.6,,0,0,5,-12.06,-5.68,-30.23,14.21,6.11,0.783,33.98,72.3,4.5,0.32,https://www.valueresearchonline.com/stocks/42639/insecticides-india-ltd/,15,10,18,10,15,15,115,83,High,72.17,0.6,26.5,44.17,Medium,62.37,Good,High
DCM Shriram Industries Limited,DCMSRIND,INE843D01027,523369,Consumer Defensive,Confectioners,16295,Small Cap,,7,7,6,3,8.9,11.8,,,5.98,,,,,,,,19.1,28.98,2.1,,1.1,0.2,2,-3.04,-24.03,9.73,16.08,10.28,1.016,122.51,,,,https://www.valueresearchonline.com/stocks/41724/dcm-shriram-industries-ltd/,,,5,,15,15,55,35,Low,63.64,0.6,36.5,60.83,Medium,62.66,Good,High
Ravinder Heights Limited,RVHL,INE09E501017,543251,Real Estate,Real Estate—Development,279,Small Cap,,,,,,-1,-1.3,16,79.9,65.33,12994.4,84.1,356.3,2027.8,102.6,62.9,2026.5,5.7,39.68,1,0,0,0,4,17.07,-14.57,-8.28,21.85,17.23,1.546,57.19,74.74,0,0,https://www.valueresearchonline.com/stocks/274282/ravinder-heights-ltd/,20,20,5,20,15,15,115,95,High,82.61,0,0,0,None,82.61,Excellent,Medium
