Sr. No.,Company name,ISIN,BSE Symbol, BSE 6 month Avg Total Market Cap in (Rs. Crs.) ,NSE Symbol, NSE 6 month Avg Total Market Cap (Rs. Crs.) ,MSEI Symbol, MSEI 6 month Avg Total Market Cap in (Rs Crs.) ,Average of All Exchanges (Rs. Cr.),"Categorization as per SEBI Circular dated Oct 6, 2017"
2789,Regency Ceramics Ltd,INE277C01012,REGENCERAM,  123.12 ,REGENCERAM,  122.49 ,-, - ,  122.80 ,Small Cap
2790,Addi Industries Ltd.,INE757C01021,ADDIND,  122.29 ,-, - ,-, - ,  122.29 ,Small Cap
2791,BHUDEVI INFRA PROJECTS LIMITED,INE432N01010,BHUDEVI,  122.02 ,-, - ,-, - ,  122.02 ,Small Cap
2792,Gujarat State Financial corporation,INE944A01011,GUJSTATFIN,  121.87 ,-, - ,-, - ,  121.87 ,Small Cap
2793,Edvenswa Enterprises Limited,INE125G01014,EDVENSWA,  121.82 ,-, - ,-, - ,  121.82 ,Small Cap
2794,Suryalakshmi Cotton Mills Ltd.,INE713B01026,SURYALAXMI,  122.06 ,SURYALAXMI,  121.37 ,-, - ,  121.71 ,Small Cap
2795,SHLOKKA DYES LIMITED,INE1EUB01016,SHLOKKA,  121.58 ,-, - ,-, - ,  121.58 ,Small Cap
2796,Dachepalli Publishers Limited,INE1F9M01018,DACHEPALLI,  121.49 ,-, - ,-, - ,  121.49 ,Small Cap
2797,Bihar Sponge Iron Ltd,INE819C01011,BIHSPONG,  121.49 ,-, - ,-, - ,  121.49 ,Small Cap
2798,ARSS Infrastructure Projects Limited,INE267I01010,ARSSINFRA,  120.63 ,-, - ,-, - ,  120.63 ,Small Cap
2799,Reliance Chemotex Industries Ltd.,INE750D01016,RELCHEMQ,  120.64 ,RELCHEMQ,  120.44 ,-, - ,  120.54 ,Small Cap
2800,Kohinoor Foods Ltd,INE080B01012,KOHINOOR,  120.33 ,KOHINOOR,  120.33 ,-, - ,  120.33 ,Small Cap
2801,Ultracab (India) Limited,INE010R01023,ULTRACAB,  120.10 ,-, - ,-, - ,  120.10 ,Small Cap
2802,Cospower Engineering Limited,INE0CQB01010,COSPOWER,  120.07 ,-, - ,-, - ,  120.07 ,Small Cap
2803,Shetron Ltd.,INE278C01010,SHETR,  119.69 ,-, - ,-, - ,  119.69 ,Small Cap
2804,PARMESHWAR METAL LIMITED,INE0QQJ01021,PARMESHWAR,  119.62 ,-, - ,-, - ,  119.62 ,Small Cap
2805,Jasch Industries Ltd.,INE711C01028,JASCH,  119.56 ,-, - ,-, - ,  119.56 ,Small Cap
2806,TOMORROW TECHNOLOGIES GLOBAL INNOVATIONS LIMITED,INE135H01029,TTGIL,  119.51 ,-, - ,-, - ,  119.51 ,Small Cap
2807,Pee Cee Cosma Sope Ltd.,INE417E01010,PCCOSMA,  119.44 ,-, - ,-, - ,  119.44 ,Small Cap
2808,Choksi Laboratories Ltd.,INE493D01013,CHOKSILA,  119.44 ,-, - ,-, - ,  119.44 ,Small Cap
2809,HILTON METAL FORGING LIMITED,INE788H01017,HILTON,  119.37 ,HILTON,  119.14 ,-, - ,  119.26 ,Small Cap
2810,Modern Dairies Ltd.,INE617B01011,MODAIRY,  119.23 ,-, - ,-, - ,  119.23 ,Small Cap
2811,Jattashankar Industries Limited,INE722N01014,JATTAINDUS,  119.02 ,-, - ,-, - ,  119.02 ,Small Cap
2812,Royal Sense Limited,INE0QQG01019,ROYAL,  118.96 ,-, - ,-, - ,  118.96 ,Small Cap
2813,Umiya Mobile Limited,INE1P1A01018,UML,  118.66 ,-, - ,-, - ,  118.66 ,Small Cap
2814,Palash Securities Limited,INE471W01019,PALASHSECU,  118.72 ,PALASHSECU,  118.15 ,-, - ,  118.44 ,Small Cap
2815,Cura Technologies Limited,INE117B01020,CURAA,  143.84 ,CURAA,  92.86 ,-, - ,  118.35 ,Small Cap
2816,JAY AMBE SUPERMARKETS LIMITED,INE1DRH01011,CITYSQUARE,  118.11 ,-, - ,-, - ,  118.11 ,Small Cap
2817,Rexnord Electronics & Controls Ltd.,INE687C01012,REXNORD,  118.10 ,-, - ,-, - ,  118.10 ,Small Cap
2818,Total Transport Systems Ltd.,INE336X01012,-, - ,TOTAL,  118.07 ,-, - ,  118.07 ,Small Cap
2819,Patdiam Jewellery Limited,INE473T01011,PJL,  117.98 ,-, - ,-, - ,  117.98 ,Small Cap
2820,SAL AUTOMOTIVE LIMITED,INE724G01014,SALAUTO,  117.98 ,-, - ,-, - ,  117.98 ,Small Cap
2821,BITS Ltd,INE839A01021,BITS,  117.93 ,-, - ,-, - ,  117.93 ,Small Cap
2822,Resonance Specialties Limited,INE486D01017,RESONANCE,  117.73 ,-, - ,-, - ,  117.73 ,Small Cap
2823,Deep Polymers Limited,INE00IY01012,DEEP,  117.71 ,-, - ,-, - ,  117.71 ,Small Cap
2824,Standard Industries Ltd.,INE173A01025,SIL,  117.44 ,SIL,  117.24 ,-, - ,  117.34 ,Small Cap
2825,Vaishali Pharma Ltd.,INE972X01022,-, - ,VAISHALI,  117.27 ,-, - ,  117.27 ,Small Cap
2826,FUNDVISER CAPITAL (INDIA) LIMITED,INE365H01014,FUNDVISER,  117.09 ,-, - ,-, - ,  117.09 ,Small Cap
2827,Orissa Bengal Carrier Limited,INE426Z01016,OBCL,  116.93 ,OBCL,  117.04 ,-, - ,  116.99 ,Small Cap
2828,LANDMARK GLOBAL LEARNING LIMITED,INE12QA01010,LGLL,  116.98 ,-, - ,-, - ,  116.98 ,Small Cap
2829,Maiden Forgings Limited,INE0O1T01010,MAIDEN,  116.85 ,-, - ,-, - ,  116.85 ,Small Cap
2830,Tokyo Plast International Ltd.,INE932C01012,TOKYOPLAST,  116.78 ,TOKYOPLAST,  116.88 ,-, - ,  116.83 ,Small Cap
2831,Shine Fashions (India) Limited,INE0BLY01023,SHINEFASH,  116.39 ,-, - ,-, - ,  116.39 ,Small Cap
2832,DHARNI CAPITAL SERVICES LIMITED,INE0M9Q01011,DHARNI,  116.32 ,-, - ,-, - ,  116.32 ,Small Cap
2833,Vivimed Labs Ltd.,INE526G01021,VIVIMEDLAB,  50.64 ,VIVIMEDLAB,  181.30 ,-, - ,  115.97 ,Small Cap
2834,Radhe Developers (India) ltd.,INE986B01044,RADHEDE,  115.64 ,-, - ,-, - ,  115.64 ,Small Cap
2835,DIGIDRIVE DISTRIBUTORS LIMITED,INE0PSC01024,DIGIDRIVE,  115.36 ,DIGIDRIVE,  115.29 ,-, - ,  115.33 ,Small Cap
2836,Bhandari Hosiery Exports Ltd.,INE474E01029,BHANDARI,  115.21 ,BHANDARI,  115.04 ,-, - ,  115.12 ,Small Cap
2837,Ballarpur Industries Ltd.,INE294A01037,BALLARPUR,  115.12 ,-, - ,-, - ,  115.12 ,Small Cap
2838,Odigma Consultancy Solutions Limited,INE054301028,ODIGMA,  115.25 ,ODIGMA,  114.96 ,-, - ,  115.10 ,Small Cap
2839,Kakatiya Cement Sugar & Industries Ltd.,INE437B01014,KAKATCEM,  115.15 ,KAKATCEM,  114.95 ,-, - ,  115.05 ,Small Cap
2840,Mitcon Consultancy & Engineering Services Ltd.,INE828O01033,-, - ,MITCON,  114.86 ,-, - ,  114.86 ,Small Cap
2841,Valplast Technologies Limited,INE0QP701017,VALPLAST,  114.76 ,-, - ,-, - ,  114.76 ,Small Cap
2842,Touchwood Entertainment Ltd.,INE486Y01013,-, - ,TOUCHWOOD,  114.75 ,-, - ,  114.75 ,Small Cap
2843,Oswal Overseas Ltd,INE906K01027,OSWALOR,  114.65 ,-, - ,-, - ,  114.65 ,Small Cap
2844,GALAXY CLOUD KITCHENS LIMITED,INE403B01016,GCKL,  114.44 ,-, - ,-, - ,  114.44 ,Small Cap
2845,Mayank Cattle Food Limited,INE0R5Z01015,MCFL,  114.31 ,-, - ,-, - ,  114.31 ,Small Cap
2846,SPL INDUSTRIES LIMITED,INE978G01016,SPLIL,  114.61 ,SPLIL,  113.79 ,-, - ,  114.20 ,Small Cap
2847,AAA TECHNOLOGIES LIMITED,INE0D0U01013,AAATECH,  114.08 ,AAATECH,  113.79 ,-, - ,  113.93 ,Small Cap
2848,TECHKNOWGREEN SOLUTIONS LIMITED,INE0P4P01011,TECHKGREEN,  113.76 ,-, - ,-, - ,  113.76 ,Small Cap
2849,COVANCE SOFTSOL LIMITED,INE0R8101016,COVANCE,  113.41 ,-, - ,-, - ,  113.41 ,Small Cap
2850,ZENITH STEEL PIPES AND  INDUSTRIES LIMITED,INE318D01020,ZENITHSTL,  113.36 ,ZENITHSTL,  113.33 ,-, - ,  113.35 ,Small Cap
2851,REMEDIUM LIFECARE LIMITED,INE549S01036,REMLIFE,  113.24 ,-, - ,-, - ,  113.24 ,Small Cap
2852,NEPTUNE LOGITEK LIMITED,INE1NQ501012,NEPLOG,  113.19 ,-, - ,-, - ,  113.19 ,Small Cap
2853,Piccadily Sugar  & Allied Ltd.,INE544C01023,PICCASUG,  113.08 ,-, - ,-, - ,  113.08 ,Small Cap
2854,Raja Bahadur International Ltd,INE491N01016,RAJABAH,  112.98 ,-, - ,-, - ,  112.98 ,Small Cap
2855,KIC Metaliks Ltd.,INE434C01027,KAJARIR,  112.83 ,-, - ,-, - ,  112.83 ,Small Cap
2856,MRP Agro Limited,INE0D7801012,MRP,  111.86 ,-, - ,-, - ,  111.86 ,Small Cap
2857,Asit C Mehta Financial Services Limited,INE041B01014,ASITCFIN,  111.72 ,-, - ,-, - ,  111.72 ,Small Cap
2858,Tanvi Foods (India) Limited,INE978V01015,TANVI,  111.62 ,-, - ,-, - ,  111.62 ,Small Cap
2859,Vantage Knowledge Academy Limited,INE427T01025,VKAL,  111.62 ,-, - ,-, - ,  111.62 ,Small Cap
2860,Rishiroop Limited,INE582D01013,RISHIROOP,  111.44 ,-, - ,-, - ,  111.44 ,Small Cap
2861,Shri Krishna Devcon Limited,INE997I01012,SHRIKRISH,  111.40 ,-, - ,-, - ,  111.40 ,Small Cap
2862,Fervent Synergies Limited,INE258M01011,FERVENTSYN,  111.37 ,-, - ,-, - ,  111.37 ,Small Cap
2863,Panyam Cements & Mineral Inds. Ltd.,INE167E01037,PANCM,  111.30 ,-, - ,-, - ,  111.30 ,Small Cap
2864,REGIS INDUSTRIES LIMITED,INE745R01024,REGIS,  110.94 ,-, - ,-, - ,  110.94 ,Small Cap
2865,Prithvi Exchange (India) Limited,INE621B01021,PRITHVIEXCH,  110.78 ,-, - ,-, - ,  110.78 ,Small Cap
2866,Pioneer Embroideries Ltd.,INE156C01018,PIONEEREMB,  110.45 ,PIONEEREMB,  110.30 ,-, - ,  110.37 ,Small Cap
2867,The Ramaraju Surgical Cotton Mills Limited,INE328E01027,-, - ,-, - ,RAMARAJU,  110.14 ,  110.14 ,Small Cap
2868,ITL Industries Ltd.,INE478D01014,ITL,  109.96 ,-, - ,-, - ,  109.96 ,Small Cap
2869,SHANTI SPINTEX LIMITED,INE0QZQ01019,SHANTIDENM,  109.94 ,-, - ,-, - ,  109.94 ,Small Cap
2870,PURETROP FRUITS LIMITED,INE795D01011,PURETROP,  109.66 ,-, - ,-, - ,  109.66 ,Small Cap
2871,PURPLE WAVE INFOCOM LIMITED,INE0VDK01019,PURPLEWAVE,  109.61 ,-, - ,-, - ,  109.61 ,Small Cap
2872,SHIVAM CHEMICALS LIMITED,INE0SGR01013,SHIVAM,  109.48 ,-, - ,-, - ,  109.48 ,Small Cap
2873,Citizen Infoline Ltd.,INE473L01018,CIL,  109.45 ,-, - ,-, - ,  109.45 ,Small Cap
2874,STEELMAN TELECOM LIMITED,INE0MSK01016,STML,  109.41 ,-, - ,-, - ,  109.41 ,Small Cap
2875,Karnawati Innovation Limited,INE214D01021,KARNAWATI,  109.33 ,-, - ,-, - ,  109.33 ,Small Cap
2876,Cravatex Ltd.,INE145E01017,CRAVATEX,  109.33 ,-, - ,-, - ,  109.33 ,Small Cap
2877,KOVILPATTI LAKSHMI ROLLER FLOUR MILLS  LTD,INE014E01015,KLRFM,  109.15 ,-, - ,-, - ,  109.15 ,Small Cap
2878,TELGE PROJECTS LIMITED,INE0SRP01014,TELGE,  108.85 ,-, - ,-, - ,  108.85 ,Small Cap
2879,Jolly Plastic Industries Ltd.,INE289M01016,JOLYPLS,  108.82 ,-, - ,-, - ,  108.82 ,Small Cap
2880,Parvati Sweetners and Power Ltd.,INE295Z01015,PARVATI,  108.78 ,-, - ,-, - ,  108.78 ,Small Cap
2881,Kranti Industries Limited,INE911T01010,KRANTI,  108.78 ,-, - ,-, - ,  108.78 ,Small Cap
2882,Amwill Health Care Limited,INE0U2L01017,AMWILL,  108.74 ,-, - ,-, - ,  108.74 ,Small Cap
2883,HEALTHY LIFE AGRITEC LIMITED,INE0L3501015,HEALTHYLIFE,  108.59 ,-, - ,-, - ,  108.59 ,Small Cap
2884,FLOMIC GLOBAL LOGISTICS LIMITED,INE952M01019,FLOMIC,  108.38 ,-, - ,-, - ,  108.38 ,Small Cap
2885,Globe Enterprises (India) Ltd.,INE581X01021,-, - ,GLOBE,  108.18 ,-, - ,  108.18 ,Small Cap
2886,Dhruv Consultancy Services Limited,INE506Z01015,DHRUV,  107.65 ,DHRUV,  108.07 ,-, - ,  107.86 ,Small Cap
2887,M P K STEELS (I) LIMITED,INE1PJP01015,MPKSTEELS,  107.73 ,-, - ,-, - ,  107.73 ,Small Cap
2888,SEL Manufacturing Company Limited,INE105I01020,SELMC,  107.72 ,SELMC,  107.20 ,-, - ,  107.46 ,Small Cap
2889,PRABHAT TECHNOLOGIES (INDIA) LIMITED,INE171P01019,PTIL,  107.06 ,-, - ,-, - ,  107.06 ,Small Cap
2890,Murae Organisor Limited,INE060601031,MURAE,  107.02 ,-, - ,-, - ,  107.02 ,Small Cap
2891,Bhilwara Spinners Ltd,INE436C01014,BHILSPIN,  106.72 ,-, - ,-, - ,  106.72 ,Small Cap
2892,Amarjothi Spinning Mills Ltd,INE484D01012,AMARJOTHI,  106.59 ,-, - ,-, - ,  106.59 ,Small Cap
2893,JAGSONPAL SERVICES LIMITED,INE582C01015,JAGSONSER,  106.53 ,-, - ,-, - ,  106.53 ,Small Cap
2894,Retina Paints Limited,INE0NTC01019,RETINA,  106.43 ,-, - ,-, - ,  106.43 ,Small Cap
2895,Kkalpana Industries (India) Ltd,INE301C01028,KKALPANAIND,  105.99 ,-, - ,-, - ,  105.99 ,Small Cap
2896,Atam Valves Limited,INE09KD01013,ATAM,  105.76 ,ATAM,  105.72 ,-, - ,  105.74 ,Small Cap
2897,Raaj Medisafe India Limited,INE548H01015, RAAJMEDI,  105.56 ,-, - ,-, - ,  105.56 ,Small Cap
2898,Landmark Property Development Company Ltd.,INE197J01017,LPDC,  105.47 ,LPDC,  105.34 ,-, - ,  105.40 ,Small Cap
2899,Shervani Industrial syndicate Ltd,INE011D01013,SHERVANI,  105.32 ,-, - ,-, - ,  105.32 ,Small Cap
2900,RAJNISH RETAIL LIMITED,INE786J01033,RRETAIL,  105.20 ,-, - ,-, - ,  105.20 ,Small Cap
2901,GENESIS IBRC INDIA LIMITED,INE194N01016,GENESIS,  105.19 ,-, - ,-, - ,  105.19 ,Small Cap
2902,JCT Ltd,INE945A01026,JCTLTD,  105.07 ,-, - ,-, - ,  105.07 ,Small Cap
2903,Gujarat Containers Ltd.,INE276I01011,GUJCONT,  104.87 ,-, - ,-, - ,  104.87 ,Small Cap
2904,G M Polyplast Limited,INE0E2801015,GMPL,  104.87 ,-, - ,-, - ,  104.87 ,Small Cap
2905,Saumya Consultants Ltd.,INE563C01015,SAUMYA,  104.72 ,-, - ,-, - ,  104.72 ,Small Cap
2906,Patel Integrated Logistics Ltd,INE529D01014,PATINTLOG,  104.52 ,PATINTLOG,  104.35 ,-, - ,  104.44 ,Small Cap
2907,Rama Vision Ltd,INE763B01013,RAMAVISION,  104.43 ,-, - ,-, - ,  104.43 ,Small Cap
2908,GOYAL ALUMINIUMS LIMITED,INE705X01026,GOYALALUM,  104.13 ,GOYALALUM,  104.11 ,-, - ,  104.12 ,Small Cap
2909,Wallfort Financial Services Ltd.,INE121B01014,WALLFORT,  104.02 ,-, - ,-, - ,  104.02 ,Small Cap
2910,Auto Pins (India) Ltd.,INE706C01028,AUTOPINS,  103.77 ,-, - ,-, - ,  103.77 ,Small Cap
2911,TITAN INTECH LIMITED,INE807M01031,TITANIN,  103.70 ,-, - ,-, - ,  103.70 ,Small Cap
2912,IL&FS Transportation Networks Limited,INE975G01012,IL&FSTRANS,  103.87 ,IL&FSTRANS,  103.24 ,-, - ,  103.55 ,Small Cap
2913,Skyline Millars Ltd,INE178E01026,SKYLMILAR,  103.45 ,-, - ,-, - ,  103.45 ,Small Cap
2914,Softrak Venture Investments Ltd.,INE562E01021,SOFTRAKV,  103.32 ,-, - ,-, - ,  103.32 ,Small Cap
2915,Mangalam Drugs and Organics Ltd.,INE584F01014,MANGALAM,  103.19 ,MANGALAM,  103.25 ,-, - ,  103.22 ,Small Cap
2916,Prime Industries Ltd.,INE543F01028,PRIMIND,  103.13 ,-, - ,-, - ,  103.13 ,Small Cap
2917,Prudential Sugar Corporation Ltd,INE024D01016,PRUDMOULI,  102.92 ,PRUDMOULI,  102.54 ,-, - ,  102.73 ,Small Cap
2918,Mercury Laboratories Limited,INE947G01011,MERCURYLAB,  102.51 ,-, - ,-, - ,  102.51 ,Small Cap
2919,AMD Industries Ltd,INE005I01014,AMDIND,  102.47 ,AMDIND,  102.29 ,-, - ,  102.38 ,Small Cap
2920,Hari Govind International Ltd.,INE167F01018,HARIGOV,  102.30 ,-, - ,-, - ,  102.30 ,Small Cap
2921,DIGJAM LIMITED,INE731U01028,DIGJAMLMTD,  103.02 ,DIGJAMLMTD,  101.35 ,-, - ,  102.18 ,Small Cap
2922,Capital Trust Ltd.,INE707C01018,CAPTRUST,  98.54 ,CAPTRUST,  105.79 ,-, - ,  102.16 ,Small Cap
2923,SGL RESOURCES LIMITED,INE967B01028,SGLRES,  102.07 ,-, - ,-, - ,  102.07 ,Small Cap
2924,F MEC INTERNATIONAL FINANCIAL SERVICES LIMITED,INE108T01013,FMEC,  102.04 ,-, - ,-, - ,  102.04 ,Small Cap
2925,SRIGEE DLM LIMITED,INE0RJ901010,SRIGEE,  102.04 ,-, - ,-, - ,  102.04 ,Small Cap
2926,Ravelcare Limited,INE0W4D01018,RAVEL,  101.71 ,-, - ,-, - ,  101.71 ,Small Cap
2927,Acme Resources Limited,INE636B01011,ACME,  101.27 ,-, - ,-, - ,  101.27 ,Small Cap
2928,Indian Acrylics Ltd,INE862B01013,INDIANACRY,  101.24 ,-, - ,-, - ,  101.24 ,Small Cap
2929,Super Iron Foundry Limited,INE16IQ01014,SUPERIRON,  101.14 ,-, - ,-, - ,  101.14 ,Small Cap
2930,HIMALAYA FOOD INTERNATIONAL LIMITED,INE552B01010,HFIL,  101.10 ,-, - ,-, - ,  101.10 ,Small Cap
2931,Cinevista Limited,INE039B01026,CINEVISTA,  100.98 ,CINEVISTA,  100.63 ,-, - ,  100.81 ,Small Cap
2932,BARAK VALLEY CEMENTS LIMITED,INE139I01011,BVCL,  100.94 ,BVCL,  100.67 ,-, - ,  100.81 ,Small Cap
2933,Motor & General Finance (M.G.F.) Lt,INE861B01023,MOTOGENFIN,  100.81 ,MOTOGENFIN,  100.50 ,-, - ,  100.65 ,Small Cap
2934,Kesar Terminals & Infrastructure Limited,INE096L01025,KTIL,  100.23 ,-, - ,-, - ,  100.23 ,Small Cap
2935,Haryana Capfin Ltd.,INE928H01019,HARYNACAP,  99.83 ,-, - ,-, - ,  99.83 ,Small Cap
2936,Hisar Metal Industries Ltd.,INE598C01011,HISARMETAL,  99.58 ,HISARMETAL,  99.40 ,-, - ,  99.49 ,Small Cap
2937,Luxury Time Limited,INE1CJB01013,LUXURY,  99.48 ,-, - ,-, - ,  99.48 ,Small Cap
2938,JHS Svendgaard Laboratories Ltd.,INE544H01014,JHS,  99.37 ,JHS,  99.24 ,-, - ,  99.31 ,Small Cap
2939,Vippy Spinpro Ltd.,INE660D01017,VIPPYSP,  99.18 ,-, - ,-, - ,  99.18 ,Small Cap
2940,Riddhi Steel and Tube Limited,INE367U01013,RSTL,  98.90 ,-, - ,-, - ,  98.90 ,Small Cap
2941,Prerna Infrabuild Limited,INE426H01014,PRERINFRA,  98.67 ,-, - ,-, - ,  98.67 ,Small Cap
2942,Cosco (India) ltd.,INE949B01018,COSCO,  98.59 ,-, - ,-, - ,  98.59 ,Small Cap
2943,E-Land Apparel Limited,INE311H01018,ELAND,  98.58 ,-, - ,-, - ,  98.58 ,Small Cap
2944,Priti International Ltd.,INE974Z01015,-, - ,PRITI,  98.49 ,-, - ,  98.49 ,Small Cap
2945,GENPHARMASEC LIMITED,INE861N01036,GENPHARMA,  98.37 ,-, - ,-, - ,  98.37 ,Small Cap
2946,Assam Entrade Limited,INE165G01010,ASSAMENT,  98.15 ,-, - ,-, - ,  98.15 ,Small Cap
2947,Apt Packaging Ltd,INE046E01025,APTPACK,  98.04 ,-, - ,-, - ,  98.04 ,Small Cap
2948,Energy Development Company Ltd.,INE306C01019,ENERGYDEV,  97.96 ,ENERGYDEV,  97.65 ,-, - ,  97.80 ,Small Cap
2949,Deepak Spinners Ltd.,INE272C01013,DEEPAKSP,  97.65 ,-, - ,-, - ,  97.65 ,Small Cap
2950,Supra Pacific Financial Services Limited,INE268T01015,SUPRAPFSL,  97.57 ,-, - ,-, - ,  97.57 ,Small Cap
2951,Aakash Exploration Services Ltd.,INE087Z01024,-, - ,AAKASH,  97.27 ,-, - ,  97.27 ,Small Cap
2952,Ganga Papers India Ltd,INE278O01015,GANGAPA,  97.22 ,-, - ,-, - ,  97.22 ,Small Cap
2953,Safa Systems & Technologies Limited,INE0JNA01014,SSTL,  96.93 ,-, - ,-, - ,  96.93 ,Small Cap
2954,McDowell Holdings Limited,INE836H01014,MCDHOLDING,  96.90 ,-, - ,-, - ,  96.90 ,Small Cap
2955,Shri Balaji Valve Components Limited,INE0RNZ01014,SBVCL,  96.88 ,-, - ,-, - ,  96.88 ,Small Cap
2956,Aptus Pharma Limited,INE15XJ01010,APPL,  96.38 ,-, - ,-, - ,  96.38 ,Small Cap
2957,Accuracy Shipping Limited,INE648Z01023,ACCURACY,  89.73 ,ACCURACY,  102.56 ,-, - ,  96.14 ,Small Cap
2958,Storage Technologies and Automation Limited,INE0RGM01016,STAL,  95.98 ,-, - ,-, - ,  95.98 ,Small Cap
2959,Gujarat Hotels Ltd.,INE621C01011,GUJHOTE,  95.94 ,-, - ,-, - ,  95.94 ,Small Cap
2960,SHRI VASUPRADA PLANTATIONS LIMITED,INE574G01013,VASUPRADA,  95.74 ,-, - ,-, - ,  95.74 ,Small Cap
2961,Vibrant Global Capital Limited,INE761Q01015,VGCL,  95.66 ,-, - ,-, - ,  95.66 ,Small Cap
2962,Olatech Solutions Limited,INE0M3901015,OLATECH,  95.62 ,-, - ,-, - ,  95.62 ,Small Cap
2963,WEP Solutions Ltd,INE434B01029,WEPSOLN,  95.61 ,-, - ,-, - ,  95.61 ,Small Cap
2964,GARMENT MANTRA LIFESTYLE LIMITED,INE653S01028,GARMNTMNTR,  95.58 ,-, - ,-, - ,  95.58 ,Small Cap
2965,Rathi Industries Limited,INE173X01019,-, - ,-, - ,RATHIIND,  95.57 ,  95.57 ,Small Cap
2966,ORCHASP LIMITED,INE215B01022,ORCHASP,  95.73 ,ORCHASP,  95.35 ,-, - ,  95.54 ,Small Cap
2967,Polychem Ltd,INE752B01024,POLYCHEM,  95.33 ,-, - ,-, - ,  95.33 ,Small Cap
2968,Abhinav Capital Services Limited,INE516F01016,ABHICAP,  95.05 ,-, - ,-, - ,  95.05 ,Small Cap
2969,VIRYA RESOURCES LIMITED,INE661K01010,VIRYA,  95.01 ,-, - ,-, - ,  95.01 ,Small Cap
2970,VIKRAM KAMATS HOSPITALITY LIMITED,INE564S01019,KAMATS,  94.61 ,-, - ,-, - ,  94.61 ,Small Cap
2971,ECO HOTELS AND RESORTS LIMITED,INE638N01012,ECOHOTELS,  94.58 ,-, - ,-, - ,  94.58 ,Small Cap
2972,KRETTO SYSCON LIMITED,INE128R01023,KRETTOSYS,  94.51 ,-, - ,-, - ,  94.51 ,Small Cap
2973,THRIVE FUTURE HABITATS LIMITED,INE628D01014,THRIVE,  94.14 ,-, - ,-, - ,  94.14 ,Small Cap
2974,Samrat Pharmachem Ltd.,INE103E01016,SAMRATPH,  94.13 ,-, - ,-, - ,  94.13 ,Small Cap
2975,Titan Securities Ltd.,INE090D01017,TITANSEC,  93.90 ,-, - ,-, - ,  93.90 ,Small Cap
2976,Rajnish Wellness Limited,INE685Z01033,RAJNISH,  93.89 ,-, - ,-, - ,  93.89 ,Small Cap
2977,Atlas Jewellery India Limited,INE022N01019,AJIL,  93.31 ,-, - ,-, - ,  93.31 ,Small Cap
2978,G G Engineering Limited,INE694X01030,GGENG,  93.27 ,-, - ,-, - ,  93.27 ,Small Cap
2979,CASPIAN CORPORATE SERVICES LIMITED,INE176N01021,CASPIAN,  93.25 ,-, - ,-, - ,  93.25 ,Small Cap
2980,CLARA INDUSTRIES LIMITED,INE0JJS01014,CLARA,  93.13 ,-, - ,-, - ,  93.13 ,Small Cap
2981,Prakash Steelage Limited,INE696K01024,PRAKASHSTL,  93.05 ,PRAKASHSTL,  92.99 ,-, - ,  93.02 ,Small Cap
2982,T & I Global Ltd.,INE811B01010,TIGLOB,  92.44 ,-, - ,-, - ,  92.44 ,Small Cap
2983,Sundaram Multi Pap Ltd.,INE108E01023,SUNDARAM,  92.49 ,SUNDARAM,  92.30 ,-, - ,  92.39 ,Small Cap
2984,Welcure Drugs & Pharmaceuticals ltd,INE331C01025,WELCURE,  92.36 ,-, - ,-, - ,  92.36 ,Small Cap
2985,Pioneer Investcorp Ltd,INE746D01014,PIONRINV,  92.23 ,-, - ,-, - ,  92.23 ,Small Cap
2986,Bharat Immunologicals & Biologicals,INE994B01014,BIBCL,  92.04 ,-, - ,-, - ,  92.04 ,Small Cap
2987,DB(INTERNATIONAL)Stock Brokers Ltd,INE921B01025,DBSTOCKBRO,  92.00 ,DBSTOCKBRO,  91.98 ,-, - ,  91.99 ,Small Cap
2988,Kesar Enterprises Ltd.,INE133B01027,KESARENT,  91.89 ,-, - ,-, - ,  91.89 ,Small Cap
2989,Tayo Rolls Ltd.,INE895C01011,TATAYODOGA,  91.73 ,-, - ,-, - ,  91.73 ,Small Cap
2990,Archit Organosys Limited,INE078I01011,ARCHITORG,  91.54 ,-, - ,-, - ,  91.54 ,Small Cap
2991,Focus Business Solution Limited,INE0DXR01010,FOCUS,  91.53 ,-, - ,-, - ,  91.53 ,Small Cap
2992,IFL ENTERPRISES LIMITED,INE714U01024,IFL,  91.40 ,-, - ,-, - ,  91.40 ,Small Cap
2993,ASTAL LABORATORIES LIMITED,INE307N01014,ASTALLTD,  91.40 ,-, - ,-, - ,  91.40 ,Small Cap
2994,ACCEL LIMITED,INE258C01038,ACCEL,  91.06 ,-, - ,-, - ,  91.06 ,Small Cap
2995,AKI India Limited,INE642Z01026,AKI,  91.94 ,AKI,  89.71 ,-, - ,  90.82 ,Small Cap
2996,Source Natural Foods & Herbal Suppl Ltd,INE679C01027,SOURCENTRL,  90.78 ,-, - ,-, - ,  90.78 ,Small Cap
2997,Auri Grow India Ltd.,INE925Y01036,-, - ,AURIGROW,  90.74 ,-, - ,  90.74 ,Small Cap
2998,Alkali Metals Limited,INE773I01017,ALKALI,  90.81 ,ALKALI,  90.62 ,-, - ,  90.71 ,Small Cap
2999,Raghuvansh Agrofarms Limited,INE865P01016,RAFL,  90.50 ,-, - ,-, - ,  90.50 ,Small Cap
3000,Chartered Logistics Ltd,INE558F01026,CHLOGIST,  90.48 ,-, - ,-, - ,  90.48 ,Small Cap
